"page_id","token","lemma","position","nameTag","NE","udpipe.feats.Abbr","udpipe.feats.AdpType","udpipe.feats.Animacy","udpipe.feats.Aspect","udpipe.feats.Case","udpipe.feats.Degree","udpipe.feats.Foreign","udpipe.feats.Gender","udpipe.feats.NameType","udpipe.feats.NumForm","udpipe.feats.NumType","udpipe.feats.Number","udpipe.feats.Person","udpipe.feats.Polarity","udpipe.feats.PronType","udpipe.feats.Reflex","udpipe.feats.Tense","udpipe.feats.Variant","udpipe.feats.VerbForm","udpipe.feats.Voice","udpipe.misc.B-pf","udpipe.misc.B-ps","udpipe.misc.B-td","udpipe.misc.B-tm","udpipe.misc.B-ty","udpipe.misc.I-td","udpipe.misc.I-tm","udpipe.misc.SpaceAfter"
"1","Keramický","keramický","1","O","","","","Inan","","Nom","Pos","","Masc","","","","Sing","","Pos","","","","","","","","","","","","","",""
"1","materiál","materiál","2","O","","","","Inan","","Nom","","","Masc","","","","Sing","","","","","","","","","","","","","","","",""
"1","nebyl","být","3","O","","","","","Imp","","","","Masc","","","","Sing","","Neg","","","Past","","Part","Act","","","","","","","",""
"1","zachován","zachovaný","4","O","","","","","Imp","","Pos","","Masc","","","","Sing","","Pos","","","","Short","Part","Pass","","","","","","","",""
"1",".",".","5","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Nčv","Nčv","1","O","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","*","*","2","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","rodte","rodte","3","O","","","","","","","","Yes","","","","","","","","","","","","","","","","","","","","",""
"1","map","map","4","O","","","","","","","","Yes","","","","","","","","","","","","","","","","","","","","","No"
"1",")",")","5","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","4","4","6","O","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","No"
"1",":",":","7","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","2","2","8","O","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","No"
"1","Fee","Fee","9","O","","","","","","","","Yes","","","","","","","","","","","","","","","","","","","","",""
"1","<","<","10","O","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","•","•","11","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","55","55","12","O","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","",""
"1","1501","1501","13","O","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","",""
"1","M","M","1","O","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
