"page_id","token","lemma","position","nameTag","NE","udpipe.feats.Abbr","udpipe.feats.AdpType","udpipe.feats.Animacy","udpipe.feats.Aspect","udpipe.feats.Case","udpipe.feats.Degree","udpipe.feats.Foreign","udpipe.feats.Gender","udpipe.feats.Mood","udpipe.feats.NameType","udpipe.feats.NumForm","udpipe.feats.NumType","udpipe.feats.Number","udpipe.feats.Person","udpipe.feats.Polarity","udpipe.feats.PronType","udpipe.feats.Reflex","udpipe.feats.Tense","udpipe.feats.Variant","udpipe.feats.VerbForm","udpipe.feats.Voice","udpipe.misc.B-gu","udpipe.misc.B-pd","udpipe.misc.B-pf","udpipe.misc.B-ps","udpipe.misc.B-td","udpipe.misc.B-tm","udpipe.misc.B-ty","udpipe.misc.I-pd","udpipe.misc.I-pf","udpipe.misc.I-td","udpipe.misc.SpaceAfter"
"1",".",".","15","I-P","Complex personal names","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","",""
"1","Stefanovou","Stefanová","16","I-P","Complex personal names","","","","","Ins","","","Fem","","Giv","","","Sing","","","","","","","","","","","","Yes","","","","","","",""
"1","při","při","17","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","záchranném","záchranný","18","O","","","","Inan","","Loc","Pos","","Masc","","","","","Sing","","Pos","","","","","","","","","","","","","","","","",""
"1","výzkumu","výzkum","19","O","","","","Inan","","Loc","","","Masc","","","","","Sing","","","","","","","","","","","","","","","","","","",""
"1","halštatské","halštatský","20","O","","","","","","Gen","Pos","","Fem","","","","","Sing","","Pos","","","","","","","","","","","","","","","","",""
"1","mohyly","mohyla","21","O","","","","","","Gen","","","Fem","","","","","Sing","","","","","","","","","","","","","","","","","","",""
"1","č.21","č.21","22","O","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","",""
"1","v","v","23","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Kšicích","Kšice","24","B-gu","Settlement name (City/Town)","","","","","Loc","","","Fem","","Geo","","","Plur","","","","","","","","","","","","","","","","","","",""
"1","u","u","25","I-gu","Settlement name (City/Town)","","Prep","","","Gen","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Tachova","Tachov","26","I-gu","Settlement name (City/Town)","","","Inan","","Gen","","","Masc","","Geo","","","Sing","","","","","","","","","Yes","","","","","","","","","",""
"1","v","v","27","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","roce","rok","28","O","","","","Inan","","Loc","","","Masc","","","","","Sing","","","","","","","","","","","","","","","","","","",""
"1","1971","1971","29","B-ty","Year","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","30","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Kůstky","kůstka","1","O","","","","","","Nom","","","Fem","","","","","Plur","","","","","","","","","","","","","","","","","","",""
"1","byly","být","2","O","","","","Inan","Imp","","","","Fem,Masc","","","","","Plur","","Pos","","","Past","","Part","Act","","","","","","","","","","",""
"1","vyzved","vyzved","3","O","","","","","Perf","","Pos","","Masc","","","","","Sing","","Pos","","","","Short","Part","Pass","","","","","","","","","","",""
"1","vyzvedpo","vyzvedpo","4","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","částech","část","5","O","","","","","","Loc","","","Fem","","","","","Plur","","","","","","","","","","","","","","","","","","",""
"1","a","a","6","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","dodány","dodaný","7","O","","","","Inan","Perf","","Pos","","Fem,Masc","","","","","Plur","","Pos","","","","Short","Part","Pass","","","","","","","","","","",""
"1","v","v","8","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","několika","několik","9","O","","","","","","Loc","","","","","","","Card","","","","Ind","","","","","","","","","","","","","","","",""
"1","sáčcích","sáček","10","O","","","","Inan","","Loc","","","Masc","","","","","Plur","","","","","","","","","","","","","","","","","","","No"
"1",":",":","11","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Sáček","sáček","12","O","","","","Inan","","Nom","","","Masc","","","","","Sing","","","","","","","","","","","","","","","","","","",""
"1","č","číslo","13","O","","Yes","","","","","","","Neut","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".39",".39","14","O","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","",""
"1","(","(","15","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","kůstky","kůstka","16","O","","","","","","Nom","","","Fem","","","","","Plur","","","","","","","","","","","","","","","","","","",""
"1","u","u","17","O","","","Prep","","","Gen","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","nádoby","nádoba","18","O","","","","","","Gen","","","Fem","","","","","Sing","","","","","","","","","","","","","","","","","","",""
"1","1","1","19","B-n_","Number expression (General)","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","",""
"1","v","v","20","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","severovýchodním","severovýchodní","21","O","","","","Inan","","Loc","Pos","","Masc","","","","","Sing","","Pos","","","","","","","","","","","","","","","","",""
"1","rohu","roh","22","O","","","","Inan","","Loc","","","Masc","","","","","Sing","","","","","","","","","","","","","","","","","","",""
"1","hrobu","hrob","23","O","","","","Inan","","Gen","","","Masc","","","","","Sing","","","","","","","","","","","","","","","","","","","No"
"1",")",")","24","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",":",":","25","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Po","po","26","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","rozplavení","rozplavení","27","O","","","","","","Loc","","","Neut","","","","","Sing","","","","","","","Vnoun","","","","","","","","","","","",""
"1","zjištěn","zjištěný","28","O","","","","","Perf","","Pos","","Masc","","","","","Sing","","Pos","","","","Short","Part","Pass","","","","","","","","","","",""
"1","jediný","jediný","29","O","","","","Inan","","Nom","Pos","","Masc","","","","","Sing","","Pos","","","","","","","","","","","","","","","","",""
"1","drobný","drobný","30","O","","","","Inan","","Nom","Pos","","Masc","","","","","Sing","","Pos","","","","","","","","","","","","","","","","",""
"1","úlomek","úlomek","31","O","","","","Inan","","Nom","","","Masc","","","","","Sing","","","","","","","","","","","","","","","","","","",""
"1","kostní","kostní","32","O","","","","","","Gen","Pos","","Fem","","","","","Sing","","Pos","","","","","","","","","","","","","","","","",""
"1","kompakty","kompakta","33","O","","","","","","Gen","","","Fem","","","","","Sing","","","","","","","","","","","","","","","","","","",""
"1","bez","bez","34","O","","","Prep","","","Gen","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","charakteristických","charakteristický","35","O","","","","Inan","","Gen","Pos","","Masc","","","","","Plur","","Pos","","","","","","","","","","","","","","","","",""
"1","znaků","znak","36","O","","","","Inan","","Gen","","","Masc","","","","","Plur","","","","","","","","","","","","","","","","","","","No"
"1",".",".","37","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Sáček","sáček","1","O","","","","Inan","","Nom","","","Masc","","","","","Sing","","","","","","","","","","","","","","","","","","",""
"1","č","číslo","2","O","","Yes","","","","","","","Neut","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".41",".41","3","O","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","",""
"1","(","(","4","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","kůstky","kůstka","5","O","","","","","","Nom","","","Fem","","","","","Plur","","","","","","","","","","","","","","","","","","",""
"1","na","na","6","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","hromádce","hromádka","7","O","","","","","","Loc","","","Fem","","","","","Sing","","","","","","","","","","","","","","","","","","",""
"1","u","u","8","O","","","Prep","","","Gen","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","nádoby","nádoba","9","O","","","","","","Gen","","","Fem","","","","","Sing","","","","","","","","","","","","","","","","","","",""
"1","11","11","10","B-n_","Number expression (General)","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","",""
"1","v","v","11","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","jihozápadním","jihozápadní","12","O","","","","Inan","","Loc","Pos","","Masc","","","","","Sing","","Pos","","","","","","","","","","","","","","","","",""
"1","rohu","roh","13","O","","","","Inan","","Loc","","","Masc","","","","","Sing","","","","","","","","","","","","","","","","","","","No"
"1",")",")","14","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",":",":","15","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Malé","malý","16","O","","","","","","Nom","Pos","","Neut","","","","","Sing","","Pos","","","","","","","","","","","","","","","","",""
"1","množství","množství","17","O","","","","","","Nom","","","Neut","","","","","Sing","","","","","","","","","","","","","","","","","","",""
"1","necharakteristické","charakteristický","18","O","","","","","","Gen","Pos","","Fem","","","","","Sing","","Neg","","","","","","","","","","","","","","","","",""
"1","kostní","kostní","19","O","","","","","","Gen","Pos","","Fem","","","","","Sing","","Pos","","","","","","","","","","","","","","","","",""
"1","drti","drt","20","O","","","","","","Gen","","","Fem","","","","","Sing","","","","","","","","","","","","","","","","","","","No"
"1",";",";","21","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","části","část","1","O","","","","","","Nom","","","Fem","","","","","Plur","","","","","","","","","","","","","","","","","","",""
"1","dosti","dost","2","O","","","","","","","Pos","","","","","","","","","Pos","","","","","","","","","","","","","","","","",""
"1","graoilní","graoilní","3","O","","","","Inan","","Nom","Pos","","Masc","","","","","Plur","","Pos","","","","","","","","","","","","","","","","",""
"1","kompakty","kompakt","4","O","","","","Inan","","Nom","","","Masc","","","","","Plur","","","","","","","","","","","","","","","","","","","No"
"1",";",";","5","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","spongiosní","spongiosní","1","O","","","","Inan","","Nom","Pos","","Masc","","","","","Plur","","Pos","","","","","","","","","","","","","","","","",""
"1","fragmenty","fragment","2","O","","","","Inan","","Nom","","","Masc","","","","","Plur","","","","","","","","","","","","","","","","","","",""
"1","vykazují","vykazovat","3","O","","","","","Imp","","","","","Ind","","","","Plur","3","Pos","","","Pres","","Fin","Act","","","","","","","","","","",""
"1","nejisté","jistý","4","O","","","","Inan","","Acc","Pos","","Masc","","","","","Plur","","Neg","","","","","","","","","","","","","","","","",""
"1","náznaky","náznak","5","O","","","","Inan","","Acc","","","Masc","","","","","Plur","","","","","","","","","","","","","","","","","","",""
"1","počínající","počínající","6","O","","","","","Imp","Gen","","","Fem","","","","","Sing","","Pos","","","Pres","","Part","Act","","","","","","","","","","",""
"1","osteoporotické","osteoporotický","7","O","","","","","","Gen","Pos","","Fem","","","","","Sing","","Pos","","","","","","","","","","","","","","","","",""
"1","přestavby","přestavba","8","O","","","","","","Gen","","","Fem","","","","","Sing","","","","","","","","","","","","","","","","","","",""
"1","kostní","kostní","9","O","","","","","","Gen","Pos","","Fem","","","","","Sing","","Pos","","","","","","","","","","","","","","","","",""
"1","trámčiny","trámčina","10","O","","","","","","Gen","","","Fem","","","","","Sing","","","","","","","","","","","","","","","","","","","No"
"1",".",".","11","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Sáček","sáček","1","O","","","","Inan","","Nom","","","Masc","","","","","Sing","","","","","","","","","","","","","","","","","","",""
"1","č","číslo","2","O","","Yes","","","","","","","Neut","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".54",".54","3","O","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","",""
"1","(","(","4","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","kůstky","kůstka","5","O","","","","","","Nom","","","Fem","","","","","Plur","","","","","","","","","","","","","","","","","","",""
"1","na","na","6","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","hromádce","hromádka","7","O","","","","","","Loc","","","Fem","","","","","Sing","","","","","","","","","","","","","","","","","","",""
"1","u","u","8","O","","","Prep","","","Gen","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","nádoby","nádoba","9","O","","","","","","Gen","","","Fem","","","","","Sing","","","","","","","","","","","","","","","","","","",""
"1","11","11","10","B-n_","Number expression (General)","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","",""
"1","v","v","11","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","jihozápadním","jihozápadní","12","O","","","","Inan","","Loc","Pos","","Masc","","","","","Sing","","Pos","","","","","","","","","","","","","","","","",""
"1","rohu","roh","13","O","","","","Inan","","Loc","","","Masc","","","","","Sing","","","","","","","","","","","","","","","","","","","No"
"1",",",",","14","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","pokračování","pokračování","15","O","","","","","","Nom","","","Neut","","","","","Sing","","","","","","","Vnoun","","","","","","","","","","","","No"
"1",")",")","16","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",":",":","17","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Větší","velký","18","O","","","","Inan","","Nom","Cmp","","Masc","","","","","Sing","","Pos","","","","","","","","","","","","","","","","",""
"1","počet","počet","19","O","","","","Inan","","Nom","","","Masc","","","","","Sing","","","","","","","","","","","","","","","","","","",""
"1","fragmentů","fragment","20","O","","","","Inan","","Gen","","","Masc","","","","","Plur","","","","","","","","","","","","","","","","","","",""
"1","mozkovny","mozkovna","21","O","","","","","","Gen","","","Fem","","","","","Sing","","","","","","","","","","","","","","","","","","",""
"1","(","(","22","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","tlouštka","tlouštka","23","O","","","","","","Nom","","","Fem","","","","","Sing","","","","","","","","","","","","","","","","","","",""
"1","4","4","24","B-nc","Cardinal number","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","No"
"1","-","-","25","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","5","5","26","B-nc","Cardinal number","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","",""
"1","mm","milimetr","27","B-oe","Measure unit","Yes","","Inan","","","","","Masc","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",",",",","28","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","drobný","drobný","29","O","","","","Inan","","Nom","Pos","","Masc","","","","","Sing","","Pos","","","","","","","","","","","","","","","","",""
"1","úlomek","úlomek","30","O","","","","Inan","","Nom","","","Masc","","","","","Sing","","","","","","","","","","","","","","","","","","",""
"1","temporální","temporální","31","O","","","","","","Gen","Pos","","Fem","","","","","Sing","","Pos","","","","","","","","","","","","","","","","",""
"1","pyramidy","pyramida","32","O","","","","","","Gen","","","Fem","","","","","Sing","","","","","","","","","","","","","","","","","","","No"
"1",")",")","33","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",",",",","34","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","malý","malý","35","O","","","","Inan","","Nom","Pos","","Masc","","","","","Sing","","Pos","","","","","","","","","","","","","","","","",""
"1","úlomek","úlomek","36","O","","","","Inan","","Nom","","","Masc","","","","","Sing","","","","","","","","","","","","","","","","","","",""
"1","krčního","krční","37","O","","","","Inan","","Gen","Pos","","Masc","","","","","Sing","","Pos","","","","","","","","","","","","","","","","",""
"1","obratle","obratel","38","O","","","","Inan","","Gen","","","Masc","","","","","Sing","","","","","","","","","","","","","","","","","","",""
"1","(","(","39","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","výška","výška","40","O","","","","","","Nom","","","Fem","","","","","Sing","","","","","","","","","","","","","","","","","","",""
"1","těla","tělo","41","O","","","","","","Gen","","","Neut","","","","","Sing","","","","","","","","","","","","","","","","","","",""
"1","asi","asi","42","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","11","11","43","B-nc","Cardinal number","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","",""
"1","mm","milimetr","44","B-oe","Measure unit","Yes","","Inan","","","","","Masc","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",")",")","45","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","46","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Kompakta","kompakta","1","O","","","","","","Nom","","","Fem","","","","","Sing","","","","","","","","","","","","","","","","","","",""
"1","končetinových","končetinový","2","O","","","","","","Gen","Pos","","Fem","","","","","Plur","","Pos","","","","","","","","","","","","","","","","",""
"1","kostí","kost","3","O","","","","","","Gen","","","Fem","","","","","Plur","","","","","","","","","","","","","","","","","","",""
"1","(","(","4","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","síla","síla","5","O","","","","","","Nom","","","Fem","","","","","Sing","","","","","","","","","","","","","","","","","","",""
"1","dosahuje","dosahovat","6","O","","","","","Imp","","","","","Ind","","","","Sing","3","Pos","","","Pres","","Fin","Act","","","","","","","","","","",""
"1","až","až","7","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","5","5","8","B-nc","Cardinal number","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","",""
"1","mm","milimetr","9","B-oe","Measure unit","Yes","","Inan","","","","","Masc","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",")",")","10","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","a","a","11","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","rela","rela","12","O","","","","","","Nom","","","Fem","","","","","Sing","","","","","","","","","","","","","","","","","","",""
"1","relavětší","relavětší","13","O","","","","","","Nom","Cmp","","Neut","","","","","Sing","","Pos","","","","","","","","","","","","","","","","",""
"1","množství","množství","14","O","","","","","","Nom","","","Neut","","","","","Sing","","","","","","","","","","","","","","","","","","",""
"1","kostní","kostní","15","O","","","","","","Gen","Pos","","Fem","","","","","Sing","","Pos","","","","","","","","","","","","","","","","",""
"1","drti","drt","16","O","","","","","","Gen","","","Fem","","","","","Sing","","","","","","","","","","","","","","","","","","","No"
"1",".",".","17","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Sáček","sáček","1","O","","","","Inan","","Nom","","","Masc","","","","","Sing","","","","","","","","","","","","","","","","","","",""
"1","č","číslo","2","O","","Yes","","","","","","","Neut","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".66",".66","3","O","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","",""
"1","(","(","4","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","kůstky","kůstka","5","O","","","","","","Nom","","","Fem","","","","","Plur","","","","","","","","","","","","","","","","","","",""
"1","na","na","6","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","hromádce","hromádka","7","O","","","","","","Loc","","","Fem","","","","","Sing","","","","","","","","","","","","","","","","","","",""
"1","u","u","8","O","","","Prep","","","Gen","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","nádoby","nádoba","9","O","","","","","","Gen","","","Fem","","","","","Sing","","","","","","","","","","","","","","","","","","",""
"1","11","11","10","B-n_","Number expression (General)","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","",""
"1","v","v","11","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","jihozáp","jihozáp","12","O","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","13","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","rohu","roh","1","O","","","","Inan","","Gen","","","Masc","","","","","Sing","","","","","","","","","","","","","","","","","","","No"
"1",",",",","2","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","pokračování","pokračování","3","O","","","","","","Nom","","","Neut","","","","","Sing","","","","","","","Vnoun","","","","","","","","","","","","No"
"1",")",")","4","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Několik","několik","5","O","","","","","","Nom","","","","","","","Card","","","","Ind","","","","","","","","","","","","","","","",""
"1","zlomků","zlomek","6","O","","","","Inan","","Gen","","","Masc","","","","","Plur","","","","","","","","","","","","","","","","","","",""
"1","mozkovny","mozkovna","7","O","","","","","","Gen","","","Fem","","","","","Sing","","","","","","","","","","","","","","","","","","",""
"1","o","o","8","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","tlouštce","tlouštka","9","O","","","","","","Loc","","","Fem","","","","","Sing","","","","","","","","","","","","","","","","","","",""
"1","5","5","10","B-nc","Cardinal number","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","",""
"1","mm","milimetr","11","B-oe","Measure unit","Yes","","Inan","","","","","Masc","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",",",",","12","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","fragment","fragment","13","O","","","","Inan","","Nom","","","Masc","","","","","Sing","","","","","","","","","","","","","","","","","","",""
"1","drobného","drobný","14","O","","","","Inan","","Gen","Pos","","Masc","","","","","Sing","","Pos","","","","","","","","","","","","","","","","",""
"1","kořene","kořen","15","O","","","","Inan","","Gen","","","Masc","","","","","Sing","","","","","","","","","","","","","","","","","","",""
"1","zubu","zub","16","O","","","","Inan","","Gen","","","Masc","","","","","Sing","","","","","","","","","","","","","","","","","","",""
"1","a","a","17","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","kostní","kostní","18","O","","","","","","Gen","Pos","","Fem","","","","","Sing","","Pos","","","","","","","","","","","","","","","","",""
"1","drt","drta","19","O","","","","","","Gen","","","Fem","","","","","Plur","","","","","","","","","","","","","","","","","","",""
"1","s","s","20","O","","","Prep","","","Ins","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","několika","několik","21","O","","","","","","Ins","","","","","","","Card","","","","Ind","","","","","","","","","","","","","","","",""
"1","částečkami","částečka","22","O","","","","","","Ins","","","Fem","","","","","Plur","","","","","","","","","","","","","","","","","","",""
"1","kompakty","kompakt","23","O","","","","Inan","","Gen","","","Masc","","","","","Sing","","","","","","","","","","","","","","","","","","",""
"1","o","o","24","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","síle","síla","25","O","","","","","","Loc","","","Fem","","","","","Sing","","","","","","","","","","","","","","","","","","",""
"1","až","až","26","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","6","6","27","B-nc","Cardinal number","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","",""
