"page_id","token","lemma","position","nameTag","NE","udpipe.feats.Abbr","udpipe.feats.AdpType","udpipe.feats.Animacy","udpipe.feats.Aspect","udpipe.feats.Case","udpipe.feats.Degree","udpipe.feats.Gender","udpipe.feats.Gender[psor]","udpipe.feats.Hyph","udpipe.feats.Mood","udpipe.feats.NameType","udpipe.feats.NumForm","udpipe.feats.NumType","udpipe.feats.Number","udpipe.feats.Person","udpipe.feats.Polarity","udpipe.feats.Poss","udpipe.feats.PrepCase","udpipe.feats.PronType","udpipe.feats.Reflex","udpipe.feats.Tense","udpipe.feats.Variant","udpipe.feats.VerbForm","udpipe.feats.Voice","udpipe.misc.B-gu","udpipe.misc.B-td","udpipe.misc.B-tm","udpipe.misc.B-ty","udpipe.misc.I-td","udpipe.misc.I-tm","udpipe.misc.SpaceAfter"
"1","26.9","26.9","52","B-T","Complex time expressions","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","Yes","","","","","No"
"1",".",".","53","I-T","Complex time expressions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","","No"
"1","1984","1984","54","I-T","Complex time expressions","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","Yes","","",""
"1","V","v","55","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","tomto","tento","56","O","","","","","","Loc","","Masc,Neut","","","","","","","Sing","","","","","Dem","","","","","","","","","","","",""
"1","období","období","57","O","","","","","","Loc","","Neut","","","","","","","Sing","","","","","","","","","","","","","","","","",""
"1","jsme","být","58","O","","","","","Imp","","","","","","Ind","","","","Plur","1","Pos","","","","","Pres","","Fin","Act","","","","","","",""
"1","v","v","59","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","zadním","zadní","60","O","","","","Inan","","Loc","Pos","Masc","","","","","","","Sing","","Pos","","","","","","","","","","","","","","",""
"1","traktu","trakt","61","O","","","","Inan","","Loc","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","",""
"1","domu","dům","62","O","","","","Inan","","Gen","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","",""
"1","čp","čp","63","O","","Yes","","","","","","Neut","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","64","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","36","36","65","B-n_","Number expression (General)","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","",""
"1","na","na","66","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Gottwaldově","Gottwaldův","67","B-gs","Super-terrestrial name (Star/Planet)","","","","","Loc","","Neut","Masc","","","Giv","","","Sing","","","Yes","","","","","","","","","","","","","",""
"1","nám","náměstí","68","I-gs","Super-terrestrial name (Star/Planet)","Yes","","","","","","Neut","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","69","I-gs","Super-terrestrial name (Star/Planet)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","v","v","70","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Berouně","Beroun","71","B-gu","Settlement name (City/Town)","","","Inan","","Loc","","Masc","","","","Geo","","","Sing","","","","","","","","","","","","","","","","",""
"1","odkryli","odkrýt","72","O","","","","Anim","Perf","","","Masc","","","","","","","Plur","","Pos","","","","","Past","","Part","Act","","","","","","",""
"1","patrně","patrně","73","O","","","","","","","Pos","","","","","","","","","","Pos","","","","","","","","","","","","","","",""
"1","provozní","provozní","74","O","","","","","","Acc","Pos","Fem","","","","","","","Sing","","Pos","","","","","","","","","","","","","","",""
"1","jímku","jímka","75","O","","","","","","Acc","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","",""
"1","hlubokou","hluboký","76","O","","","","","","Acc","Pos","Fem","","","","","","","Sing","","Pos","","","","","","","","","","","","","","",""
"1","180","180","77","B-nc","Cardinal number","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","",""
"1","cm","centimetr","78","B-oe","Measure unit","Yes","","Inan","","","","Masc","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",",",",","79","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","z","z","80","O","","","Prep","","","Gen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","lomového","lomový","81","O","","","","","","Gen","Pos","Neut","","","","","","","Sing","","Pos","","","","","","","","","","","","","","",""
"1","zdivá","zdivý","82","O","","","","","","Gen","","Neut","","","","","","","Sing","","","","","","","","","","","","","","","","",""
"1","nasucho","nasucho","83","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","a","a","84","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","jen","jen","85","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","místy","místy","86","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","na","na","87","O","","","Prep","","","Acc","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","maltu","malta","88","O","","","","","","Acc","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","","No"
"1",",",",","89","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","ve","v","90","O","","","Voc","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","spodní","spodní","91","O","","","","","","Loc","Pos","Fem","","","","","","","Sing","","Pos","","","","","","","","","","","","","","",""
"1","části","část","92","O","","","","","","Loc","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","",""
"1","uvnitř","uvnitř","93","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","sporadicky","sporadicky","94","O","","","","","","","Pos","","","","","","","","","","Pos","","","","","","","","","","","","","","",""
"1","omítnutou","omítnutý","95","O","","","","","","Acc","Pos","Fem","","","","","","","Sing","","Pos","","","","","","","Part","Pass","","","","","","","No"
"1",",",",","96","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","s","s","97","O","","","Prep","","","Ins","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","vakovitým","vakovitý","98","O","","","","","","Ins","Pos","Neut","","","","","","","Sing","","Pos","","","","","","","","","","","","","","",""
"1","dnem","dno","99","O","","","","","","Ins","","Neut","","","","","","","Sing","","","","","","","","","","","","","","","","","No"
"1",".",".","100","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Spodní","spodní","1","O","","","","","","Nom","Pos","Fem","","","","","","","Sing","","Pos","","","","","","","","","","","","","","",""
"1","část","část","2","O","","","","","","Nom","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","",""
"1","jímky","jímka","3","O","","","","","","Gen","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","",""
"1","byla","být","4","O","","","","","Imp","","","Fem,Neut","","","","","","","Plur,Sing","","Pos","","","","","Past","","Part","Act","","","","","","",""
"1","až","až","5","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","do","do","6","O","","","Prep","","","Gen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","výše","výše","7","O","","","","","","Gen","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","",""
"1","c","c","8","O","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","9","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","100","100","10","B-nc","Cardinal number","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","",""
"1","cm","centimetr","11","B-oe","Measure unit","Yes","","Inan","","","","Masc","","","","","","","","","","","","","","","","","","","","","","","",""
"1","zavezena","zavezený","12","O","","","","","Perf","","Pos","Fem,Neut","","","","","","","Plur,Sing","","Pos","","","","","","Short","Part","Pass","","","","","","",""
"1","šedým","šedý","13","O","","","","Inan","","Ins","Pos","Masc","","","","","","","Sing","","Pos","","","","","","","","","","","","","","",""
"1","říčním","říční","14","O","","","","Inan","","Ins","Pos","Masc","","","","","","","Sing","","Pos","","","","","","","","","","","","","","",""
"1","pískem","písek","15","O","","","","Inan","","Ins","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","",""
"1","s","s","16","O","","","Prep","","","Ins","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","hrubým","hrubý","17","O","","","","Inan","","Ins","Pos","Masc","","","","","","","Sing","","Pos","","","","","","","","","","","","","","",""
"1","štěrkem","štěrk","18","O","","","","Inan","","Ins","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","","No"
"1",",",",","19","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","v","v","20","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","němž","jenž","21","O","","","","","","Loc","","Masc,Neut","","","","","","","Sing","","","","Pre","Rel","","","","","","","","","","","",""
"1","se","se","22","O","","","","","","Acc","","","","","","","","","","","","","","Prs","Yes","","Short","","","","","","","","",""
"1","vyskytl","vyskytnout","23","O","","","","","Perf","","","Masc","","","","","","","Sing","","Pos","","","","","Past","","Part","Act","","","","","","",""
"1","jediný","jediný","24","O","","","","Inan","","Nom","Pos","Masc","","","","","","","Sing","","Pos","","","","","","","","","","","","","","",""
"1","střípek","střípek","25","O","","","","Inan","","Nom","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","",""
"1","cihlově","cihlově","26","O","","","","","","","Pos","","","","","","","","","","Pos","","","","","","","","","","","","","","",""
"1","zbarvené","zbarvený","27","O","","","","","","Gen","Pos","Fem","","","","","","","Sing","","Pos","","","","","","","Part","Pass","","","","","","",""
"1","režné","režný","28","O","","","","","","Gen","Pos","Fem","","","","","","","Sing","","Pos","","","","","","","","","","","","","","",""
"1","keramiky","keramika","29","O","","","","","","Gen","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","",""
"1","c","c","30","O","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","31","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","16","16","32","B-no","Ordinal number","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","No"
"1",".",".","33","I-no","Ordinal number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","století","století","34","O","","","","","","Gen","","Neut","","","","","","","Sing","","","","","","","","","","","","","","","","","No"
"1",".",".","35","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","V","v","1","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","této","tento","2","O","","","","","","Loc","","Fem","","","","","","","Sing","","","","","Dem","","","","","","","","","","","",""
"1","výši","výše","3","O","","","","","","Loc","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","",""
"1","byla","být","4","O","","","","","Imp","","","Fem,Neut","","","","","","","Plur,Sing","","Pos","","","","","Past","","Part","Act","","","","","","",""
"1","jímka","jímka","5","O","","","","","","Nom","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","",""
"1","opatřena","opatřený","6","O","","","","","Perf","","Pos","Fem,Neut","","","","","","","Plur,Sing","","Pos","","","","","","Short","Part","Pass","","","","","","",""
"1","zvýšeným","zvýšený","7","O","","","","","","Ins","Pos","Neut","","","","","","","Sing","","Pos","","","","","","","Part","Pass","","","","","","",""
"1","dnem","dno","8","O","","","","","","Ins","","Neut","","","","","","","Sing","","","","","","","","","","","","","","","","",""
"1","z","z","9","O","","","Prep","","","Gen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","plochých","plochý","10","O","","","","Inan","","Gen","Pos","Masc","","","","","","","Plur","","Pos","","","","","","","","","","","","","","",""
"1","kamenů","kámen","11","O","","","","Inan","","Gen","","Masc","","","","","","","Plur","","","","","","","","","","","","","","","","","No"
"1",".",".","12","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Na","na","1","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","tomto","tento","2","O","","","","","","Loc","","Masc,Neut","","","","","","","Sing","","","","","Dem","","","","","","","","","","","",""
"1","dně","dno","3","O","","","","","","Loc","","Neut","","","","","","","Sing","","","","","","","","","","","","","","","","",""
"1","spočívala","spočívat","4","O","","","","","Imp","","","Fem,Neut","","","","","","","Plur,Sing","","Pos","","","","","Past","","Part","Act","","","","","","",""
"1","c","c","5","O","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","6","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","10","10","7","B-nc","Cardinal number","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","",""
"1","cm","centimetr","8","B-oe","Measure unit","Yes","","Inan","","","","Masc","","","","","","","","","","","","","","","","","","","","","","","",""
"1","silná","silný","9","O","","","","","","Nom","Pos","Fem","","","","","","","Sing","","Pos","","","","","","","","","","","","","","",""
"1","vrstva","vrstva","10","O","","","","","","Nom","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","",""
"1","černé","černý","11","O","","","","","","Gen","Pos","Fem","","","","","","","Sing","","Pos","","","","","","","","","","","","","","",""
"1","popelovité","popelovitý","12","O","","","","","","Gen","Pos","Fem","","","","","","","Sing","","Pos","","","","","","","","","","","","","","",""
"1","hlíny","hlína","13","O","","","","","","Gen","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","",""
"1","s","s","14","O","","","Prep","","","Ins","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","četnými","četný","15","O","","","","Inan","","Ins","Pos","Masc","","","","","","","Plur","","Pos","","","","","","","","","","","","","","",""
"1","zlomky","zlomek","16","O","","","","Inan","","Ins","","Masc","","","","","","","Plur","","","","","","","","","","","","","","","","",""
"1","berounského","berounský","17","O","","","","","","Gen","Pos","Neut","","","","","","","Sing","","Pos","","","","","","","","","","","","","","",""
"1","zboží","zboží","18","O","","","","","","Gen","","Neut","","","","","","","Sing","","","","","","","","","","","","","","","","","No"
"1",".",".","19","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Nad","nad","1","O","","","Prep","","","Ins","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","touto","tento","2","O","","","","","","Ins","","Fem","","","","","","","Sing","","","","","Dem","","","","","","","","","","","",""
"1","vrstvou","vrstva","3","O","","","","","","Ins","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","",""
"1","byla","být","4","O","","","","","Imp","","","Fem,Neut","","","","","","","Plur,Sing","","Pos","","","","","Past","","Part","Act","","","","","","",""
"1","horní","horní","5","O","","","","","","Nom","Pos","Fem","","","","","","","Sing","","Pos","","","","","","","","","","","","","","",""
"1","část","část","6","O","","","","","","Nom","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","",""
"1","jímky","jímka","7","O","","","","","","Gen","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","",""
"1","vyplněna","vyplněný","8","O","","","","","Perf","","Pos","Fem,Neut","","","","","","","Plur,Sing","","Pos","","","","","","Short","Part","Pass","","","","","","",""
"1","odspodu","odspod","9","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","hlinitou","hlinitý","10","O","","","","","","Ins","Pos","Fem","","","","","","","Sing","","Pos","","","","","","","","","","","","","","",""
"1","hnědou","hnědý","11","O","","","","","","Ins","Pos","Fem","","","","","","","Sing","","Pos","","","","","","","","","","","","","","",""
"1","vrstvou","vrstva","12","O","","","","","","Ins","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","","No"
"1",",",",","13","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","pískovým","pískový","14","O","","","","Inan","","Ins","Pos","Masc","","","","","","","Sing","","Pos","","","","","","","","","","","","","","",""
"1","zásypem","zásyp","15","O","","","","Inan","","Ins","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","",""
"1","a","a","16","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","svrchní","svrchní","17","O","","","","","","Ins","Pos","Fem","","","","","","","Sing","","Pos","","","","","","","","","","","","","","",""
"1","šedohnědou","šedohnědý","18","O","","","","","","Ins","Pos","Fem","","","","","","","Sing","","Pos","","","","","","","","","","","","","","",""
"1","hlinitou","hlinitý","19","O","","","","","","Ins","Pos","Fem","","","","","","","Sing","","Pos","","","","","","","","","","","","","","",""
"1","vrstvou","vrstva","20","O","","","","","","Ins","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","","No"
"1",",",",","21","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","která","který","22","O","","","","","","Nom","","Fem","","","","","","","Sing","","","","","Int,Rel","","","","","","","","","","","",""
"1","sahala","sahat","23","O","","","","","Imp","","","Fem,Neut","","","","","","","Plur,Sing","","Pos","","","","","Past","","Part","Act","","","","","","",""
"1","až","až","24","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","k","k","25","O","","","Prep","","","Dat","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","povrchu","povrch","26","O","","","","Inan","","Dat","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","","No"
"1",".",".","27","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Rozšířením","rozšíření","1","O","","","","","","Ins","","Neut","","","","","","","Sing","","","","","","","","","Vnoun","","","","","","","",""
"1","sondy","sonda","2","O","","","","","","Gen","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","",""
"1","k","k","1","O","","","Prep","","","Dat","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","V","V","2","O","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","bylo","být","3","O","","","","","Imp","","","Neut","","","","","","","Sing","","Pos","","","","","Past","","Part","Act","","","","","","",""
"1","zjištěno","zjištěný","4","O","","","","","Perf","","Pos","Neut","","","","","","","Sing","","Pos","","","","","","Short","Part","Pass","","","","","","","No"
"1",",",",","5","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","že","že","6","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","na","na","7","O","","","Prep","","","Acc","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","oblouk","oblouk","8","O","","","","Inan","","Acc","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","",""
"1","jímky","jímka","9","O","","","","","","Gen","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","",""
"1","navazuje","navazovat","10","O","","","","","Imp","","","","","","Ind","","","","Sing","3","Pos","","","","","Pres","","Fin","Act","","","","","","",""
"1","zdivo","zdivo","11","O","","","","","","Nom","","Neut","","","","","","","Sing","","","","","","","","","","","","","","","","","No"
"1",",",",","12","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","náležející","náležející","13","O","","","","","Imp","Nom","","Neut","","","","","","","Sing","","Pos","","","","","Pres","","Part","Act","","","","","","",""
"1","snad","snad","14","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","zadnímu","zadní","15","O","","","","Inan","","Dat","Pos","Masc","","","","","","","Sing","","Pos","","","","","","","","","","","","","","",""
"1","traktu","trakt","16","O","","","","Inan","","Dat","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","",""
"1","domu","dům","17","O","","","","Inan","","Gen","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","",""
"1","čp","čp","18","O","","Yes","","","","","","Neut","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","19","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","36","36","20","B-n_","Number expression (General)","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","No"
"1",",",",","21","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","vybíhající","vybíhající","22","O","","","","","Imp","Nom","","Neut","","","","","","","Sing","","Pos","","","","","Pres","","Part","Act","","","","","","",""
"1","z","z","23","O","","","Prep","","","Gen","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","nejsevernějšího","severný","24","O","","","","Inan","","Gen","Sup","Masc","","","","","","","Sing","","Pos","","","","","","","","","","","","","","",""
"1","bodu","bod","25","O","","","","Inan","","Gen","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","",""
"1","jímky","jímka","26","O","","","","","","Gen","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","",""
"1","směrem","směr","27","O","","","","Inan","","Ins","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","",""
"1","k","k","28","O","","","Prep","","","Dat","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","V","V","29","O","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
