"page_id","token","lemma","position","nameTag","NE","udpipe.feats.Abbr","udpipe.feats.AdpType","udpipe.feats.Animacy","udpipe.feats.Aspect","udpipe.feats.Case","udpipe.feats.Degree","udpipe.feats.Foreign","udpipe.feats.Gender","udpipe.feats.NameType","udpipe.feats.NumForm","udpipe.feats.NumType","udpipe.feats.Number","udpipe.feats.Polarity","udpipe.feats.Tense","udpipe.feats.Variant","udpipe.feats.VerbForm","udpipe.feats.Voice","udpipe.misc.B-pf","udpipe.misc.B-ps","udpipe.misc.SpaceAfter","udpipe.misc.SpacesAfter"
"1","nálezů","nález","5","O","","","","Inan","","Gen","","","Masc","","","","Plur","","","","","","","","",""
"1","byl","být","6","O","","","","","Imp","","","","Masc","","","","Sing","Pos","Past","","Part","Act","","","",""
"1","uložen","uložený","7","O","","","","","Perf","","Pos","","Masc","","","","Sing","Pos","","Short","Part","Pass","","","",""
"1","v","v","8","O","","","Prep","","","Loc","","","","","","","","","","","","","","","",""
"1","depozitáři","depozitář","9","O","","","","Inan","","Loc","","","Masc","","","","Sing","","","","","","","","No",""
"1",".",".","10","O","","","","","","","","","","","","","","","","","","","","","","\n"
"1","A","A","1","O","","Yes","","","","","","","","","","","","","","","","","","","No",""
"1","123","123","2","B-n_","Number expression (General)","","","","","","","","","","Digit","Card","","","","","","","","","No",""
"1","/","/","3","O","","","","","","","","","","","","","","","","","","","","","No",""
"1","2024","2024","4","B-n_","Number expression (General)","","","","","","","","","","Digit","Card","","","","","","","","","No",""
