"page_id","token","lemma","position","nameTag","NE","udpipe.feats.Abbr","udpipe.feats.AdpType","udpipe.feats.Animacy","udpipe.feats.Aspect","udpipe.feats.Case","udpipe.feats.Degree","udpipe.feats.Foreign","udpipe.feats.Gender","udpipe.feats.Mood","udpipe.feats.NameType","udpipe.feats.NumForm","udpipe.feats.NumType","udpipe.feats.Number","udpipe.feats.Person","udpipe.feats.Polarity","udpipe.feats.PronType","udpipe.feats.Reflex","udpipe.feats.Tense","udpipe.feats.Variant","udpipe.feats.VerbForm","udpipe.feats.Voice","udpipe.misc.B-ah","udpipe.misc.B-az","udpipe.misc.B-gh","udpipe.misc.B-gl","udpipe.misc.B-gr","udpipe.misc.B-gu","udpipe.misc.B-ic","udpipe.misc.B-mn","udpipe.misc.B-nb","udpipe.misc.B-oa","udpipe.misc.B-pd","udpipe.misc.B-pf","udpipe.misc.B-ps","udpipe.misc.B-td","udpipe.misc.B-tm","udpipe.misc.B-ty","udpipe.misc.I-az","udpipe.misc.I-gu","udpipe.misc.I-ic","udpipe.misc.I-oa","udpipe.misc.I-pd","udpipe.misc.I-pf","udpipe.misc.I-td","udpipe.misc.I-tm","udpipe.misc.SpaceAfter"
"1","a","a","19","I-ic","Cult/Educational institution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","galerie","galerie","20","I-ic","Cult/Educational institution","","","","","Nom","","","Fem","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","v","v","21","I-ic","Cult/Educational institution","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Rychnově","Rychnov","22","I-ic","Cult/Educational institution","","","Inan","","Loc","","","Masc","","Geo","","","Sing","","","","","","","","","","","","","","Yes","","","","","","","","","","","","","","","","","","",""
"1","n","n","23","I-ic","Cult/Educational institution","","Prep","","","Ins","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","","","","","","","No"
"1",".",".","24","I-ic","Cult/Educational institution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","","","","","","",""
"1","Kn","KN","25","I-ic","Cult/Educational institution","Yes","","","","","","","","","","","","","","","","","","","","","","","Yes","","","","","","","","","","","","","","","Yes","","","","","","","No"
"1",".",".","26","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","PhDr","PhDr","1","B-P","Complex personal names","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","","","","","","","","","","","","","","No"
"1",".",".","2","I-P","Complex personal names","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","","","",""
"1","Martina","Martina","3","I-P","Complex personal names","","","","","Nom","","","Fem","","Giv","","","Sing","","","","","","","","","","","","","","","","","","","","Yes","","","","","","","","","","","","",""
"1","Beková","Beková","4","I-P","Complex personal names","","","","","Nom","","","Fem","","Giv","","","Sing","","","","","","","","","","","","","","","","","","","","","Yes","","","","","","","","","","","",""
"1","Bohumír","Bohumír","5","B-P","Complex personal names","","","Anim","","Nom","","","Masc","","Giv","","","Sing","","","","","","","","","","","","","","","","","","","","Yes","","","","","","","","","","","","",""
"1","Dragoun","Dragoun","6","I-P","Complex personal names","","","Anim","","Nom","","","Masc","","Giv","","","Sing","","","","","","","","","","","","","","","","","","","","","Yes","","","","","","","","","","","",""
"1","SKUHROV","Skuhrov","7","B-gu","Settlement name (City/Town)","","","Inan","","Nom","","","Masc","","Geo","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","NAD","nad","8","O","","","Prep","","","Ins","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","BĚLOU","Běla","9","B-gh","Hydronym (Bodies of water)","","","","","Ins","","","Fem","","Geo","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","hrad","hrad","10","O","","","","Inan","","Nom","","","Masc","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",",",",","11","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","sběry","sběr","12","O","","","","Inan","","Nom","","","Masc","","","","","Plur","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","1998","1998","13","B-ty","Year","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Geomorfologický","geomorfologický","14","O","","","","Inan","","Nom","Pos","","Masc","","","","","Sing","","Pos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","popis","popis","15","O","","","","Inan","","Nom","","","Masc","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Hrad","hrad","16","O","","","","Inan","","Nom","","","Masc","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","se","se","17","O","","","","","","Acc","","","","","","","","","","","Prs","Yes","","Short","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","nachází","nacházet","18","O","","","","","Imp","","","","","Ind","","","","Sing","3","Pos","","","Pres","","Fin","Act","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","na","na","19","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","ostrožně","ostrožna","20","O","","","","","","Loc","","","Fem","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","nad","nad","21","O","","","Prep","","","Ins","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","řekou","řeka","22","O","","","","","","Ins","","","Fem","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Bělou","Běla","23","B-gh","Hydronym (Bodies of water)","","","","","Ins","","","Fem","","Geo","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",",",",","24","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","na","na","25","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","úpatí","úpatí","26","O","","","","","","Loc","","","Neut","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","svahů","svah","27","O","","","","Inan","","Gen","","","Masc","","","","","Plur","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","svírajících","svírající","28","O","","","","Inan","Imp","Gen","","","Masc","","","","","Plur","","Pos","","","Pres","","Part","Act","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","tok","tok","29","O","","","","Inan","","Acc","","","Masc","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Bělé","Bělá","30","B-gh","Hydronym (Bodies of water)","","","","","Gen","","","Fem","","Geo","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","v","v","31","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","rámci","rámec","32","O","","","","Inan","","Loc","","","Masc","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","skuhrovské","skuhrovský","33","O","","","","","","Gen","Pos","","Fem","","","","","Sing","","Pos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","části","část","34","O","","","","","","Gen","","","Fem","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Podorlické","podorlický","35","B-gl","Nature/Landscape name (Mountain/River)","","","","","Gen","Pos","","Fem","","","","","Sing","","Pos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","pahorkatiny","pahorkatina","36","I-gl","Nature/Landscape name (Mountain/River)","","","","","Gen","","","Fem","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","(","(","37","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","SLÁDEK","Sládek","38","B-ps","Surname","","","Anim","","Nom","","","Masc","","Giv","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",",",",","39","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","J","J","40","B-P","Complex personal names","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","","","","","","","","","","","","","No"
"1",".",".","41","I-P","Complex personal names","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","","",""
"1","1977","1977","42","I-P","Complex personal names","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","","","","Yes","","","","","","","","","No"
"1",":",":","43","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Zeměpisné","zeměpisný","44","B-C","Complex bibliographic expression","","","","","Nom","Pos","","Neut","","","","","Sing","","Pos","","","","","","","","","","","","","","","","Yes","","","","","","","","","","","","","","",""
"1","vymezení","vymezení","45","I-C","Complex bibliographic expression","","","","","Nom","","","Neut","","","","","Sing","","","","","","","Vnoun","","","","","","","","","","","","","","","","","","","","","Yes","","","","",""
"1","a","a","46","I-C","Complex bibliographic expression","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","","","","",""
"1","regionální","regionální","47","I-C","Complex bibliographic expression","","","","","Nom","Pos","","Neut","","","","","Sing","","Pos","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","","","","",""
"1","členění","členění","48","I-C","Complex bibliographic expression","","","","","Nom","","","Neut","","","","","Sing","","","","","","","Vnoun","","","","","","","","","","","","","","","","","","","","","Yes","","","","",""
"1","in","in","49","I-C","Complex bibliographic expression","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",":",":","50","I-C","Complex bibliographic expression","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Příroda","příroda","51","I-C","Complex bibliographic expression","","","","","Nom","","","Fem","","","","","Sing","","","","","","","","","","","","","","","","","","Yes","","","","","","","","","","","","","","",""
"1","Orlických","orlický","52","I-C","Complex bibliographic expression","","","","","Gen","Pos","","Fem","","","","","Plur","","Pos","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","","","","",""
"1","hor","hora","53","I-C","Complex bibliographic expression","","","","","Gen","","","Fem","","","","","Plur","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","","","","",""
"1","a","a","54","I-C","Complex bibliographic expression","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","","","","",""
"1","Podorlicka","Podorlicko","55","I-C","Complex bibliographic expression","","","","","Gen","","","Neut","","Geo","","","Sing","","","","","","","","","","","","","Yes","","","","","","","","","","","","","","","Yes","","","","","No"
"1",",",",","56","I-C","Complex bibliographic expression","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Praha","Praha","57","I-C","Complex bibliographic expression","","","","","Nom","","","Fem","","Geo","","","Sing","","","","","","","","","","","","","","Yes","","","","","","","","","","","","","","","","","","",""
"1","1977","1977","58","I-C","Complex bibliographic expression","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","","","","Yes","","","","","","","","","No"
"1",",",",","59","I-C","Complex bibliographic expression","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","13","13","60","I-C","Complex bibliographic expression","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","Yes","","","","","","","","","","","","","","","","No"
"1","-","-","61","I-C","Complex bibliographic expression","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","87","87","62","I-C","Complex bibliographic expression","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","Yes","","","","","","","","","","","","","","","","No"
"1",")",")","63","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","64","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Podloží","podloží","1","O","","","","","","Nom","","","Neut","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","a","a","2","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","půdní","půdní","3","O","","","","Inan","","Nom","Pos","","Masc","","","","","Sing","","Pos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","pokryv","pokryv","4","O","","","","Inan","","Nom","","","Masc","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Oglejené","oglejený","5","O","","","","","","Gen","Pos","","Fem","","","","","Sing","","Pos","","","","","Part","Pass","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","půdy","půda","6","O","","","","","","Gen","","","Fem","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","na","na","7","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","fylitech","fylit","8","O","","","","Inan","","Loc","","","Masc","","","","","Plur","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","(","(","9","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","NÁLEVKA","Nálevka","10","B-ps","Surname","","","Anim","","Nom","","","Masc","","Giv","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",",",",","11","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","B","B","12","B-P","Complex personal names","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","","","","","","","","","","","","","No"
"1",".",".","13","I-P","Complex personal names","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","","",""
"1","1977","1977","14","I-P","Complex personal names","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","","","","Yes","","","","","","","","","No"
"1",":",":","15","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Půdní","půdní","16","B-C","Complex bibliographic expression","","","Inan","","Nom","Pos","","Masc","","","","","Plur","","Pos","","","","","","","","","","","","","","","","Yes","","","","","","","","","","","","","","",""
"1","poměry","poměry","17","I-C","Complex bibliographic expression","","","Inan","","Nom","","","Masc","","","","","Plur","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","","","","","No"
"1",",",",","18","I-C","Complex bibliographic expression","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","in","in","19","I-C","Complex bibliographic expression","","","","","","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",":",":","20","I-C","Complex bibliographic expression","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Příroda","příroda","21","I-C","Complex bibliographic expression","","","","","Nom","","","Fem","","","","","Sing","","","","","","","","","","","","","","","","","","Yes","","","","","","","","","","","","","","",""
"1","Orlických","orlický","22","I-C","Complex bibliographic expression","","","","","Gen","Pos","","Fem","","","","","Plur","","Pos","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","","","","",""
"1","hor","hora","23","I-C","Complex bibliographic expression","","","","","Gen","","","Fem","","","","","Plur","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","","","","",""
"1","a","a","24","I-C","Complex bibliographic expression","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","","","","",""
"1","Podorlicka","Podorlicko","25","I-C","Complex bibliographic expression","","","","","Gen","","","Neut","","Geo","","","Sing","","","","","","","","","","","","","Yes","","","","","","","","","","","","","","","Yes","","","","","No"
"1",",",",","26","I-C","Complex bibliographic expression","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Praha","Praha","27","I-C","Complex bibliographic expression","","","","","Nom","","","Fem","","Geo","","","Sing","","","","","","","","","","","","","","Yes","","","","","","","","","","","","","","","","","","",""
"1","1977","1977","28","I-C","Complex bibliographic expression","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","","","","Yes","","","","","","","","","No"
"1",",",",","29","I-C","Complex bibliographic expression","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","287","287","30","I-C","Complex bibliographic expression","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","Yes","","","","","","","","","","","","","","","","No"
"1","-","-","31","I-C","Complex bibliographic expression","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","308","308","32","I-C","Complex bibliographic expression","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","Yes","","","","","","","","","","","","","","","","No"
"1",".",".","33","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",")",")","34","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","35","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Historie","historie","1","O","","","","","","Nom","","","Fem","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","naleziště","naleziště","2","O","","","","","","Gen","","","Neut","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Hrad","hrad","3","B-gu","Settlement name (City/Town)","","","Inan","","Nom","","","Masc","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","na","na","4","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","ostrožně","ostrožna","5","O","","","","","","Loc","","","Fem","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",",",",","6","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","dvojdílný","dvojdílný","7","O","","","","Inan","","Nom","Pos","","Masc","","","","","Sing","","Pos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","(","(","8","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","předhradí","předhradí","9","O","","","","","","Nom","","","Neut","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","a","a","10","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","vlastní","vlastní","11","O","","","","Inan","","Nom","Pos","","Masc","","","","","Sing","","Pos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","hradní","hradní","12","O","","","","Inan","","Nom","Pos","","Masc","","","","","Sing","","Pos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","areál","areál","13","O","","","","Inan","","Nom","","","Masc","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",",",",","14","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","patrně","patrně","15","O","","","","","","","Pos","","","","","","","","","Pos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","plášťový","plášťový","16","O","","","","Inan","","Nom","Pos","","Masc","","","","","Sing","","Pos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",")",")","17","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","18","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Patrně","patrně","1","O","","","","","","","Pos","","","","","","","","","Pos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","založen","založený","2","O","","","","","Perf","","Pos","","Masc","","","","","Sing","","Pos","","","","Short","Part","Pass","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Tasem","Tas","3","B-ps","Surname","","","Anim","","Ins","","","Masc","","Giv","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","ze","z","4","O","","","Voc","","","Gen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Skuhrova","Skuhrov","5","B-gu","Settlement name (City/Town)","","","Inan","","Gen","","","Masc","","Geo","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","kolem","kolem","6","O","","","Prep","","","Gen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","r","rok","7","O","","Yes","","Inan","","","","","Masc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","8","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","1320","1320","9","B-ty","Year","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",",",",","10","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","za","za","11","O","","","Prep","","","Gen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Jiřího","Jiří","12","B-P","Complex personal names","","","Anim","","Gen","","","Masc","","Giv","","","Sing","","","","","","","","","","","","","","","","","","","","Yes","","","","","","","","","","","","",""
"1","z","z","13","I-P","Complex personal names","","Prep","","","Gen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Poděbrad","Poděbrady","14","I-P","Complex personal names","","","Inan","","Gen","","","Masc","","Geo","","","Plur","","","","","","","","","","","","","","Yes","","","","","","","","","","","","","","","","","","",""
"1","pustne","pustnout","15","O","","","","","Imp","","","","","Ind","","","","Sing","3","Pos","","","Pres","","Fin","Act","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",",",",","16","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","v","v","17","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","roce","rok","18","O","","","","Inan","","Loc","","","Masc","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","1558","1558","19","B-ty","Year","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","jmenován","jmenovaný","20","O","","","","","Imp,Perf","","Pos","","Masc","","","","","Sing","","Pos","","","","Short","Part","Pass","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","jako","jako","21","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","pustý","pustý","22","O","","","","Inan","","Nom","Pos","","Masc","","","","","Sing","","Pos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","(","(","23","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","Musil","Musil","24","B-ps","Surname","","","Anim","","Nom","","","Masc","","Giv","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",",",",","25","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","F","F","26","B-P","Complex personal names","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","","","","","","","","","","","","","No"
"1",".",".","27","I-P","Complex personal names","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","","","No"
