"page_id","token","lemma","position","nameTag","NE","udpipe.feats.Abbr","udpipe.feats.AdpType","udpipe.feats.Animacy","udpipe.feats.Aspect","udpipe.feats.Case","udpipe.feats.ConjType","udpipe.feats.Degree","udpipe.feats.Foreign","udpipe.feats.Gender","udpipe.feats.Gender[psor]","udpipe.feats.Hyph","udpipe.feats.Mood","udpipe.feats.NameType","udpipe.feats.NumForm","udpipe.feats.NumType","udpipe.feats.Number","udpipe.feats.Person","udpipe.feats.Polarity","udpipe.feats.Poss","udpipe.feats.PrepCase","udpipe.feats.PronType","udpipe.feats.Reflex","udpipe.feats.Tense","udpipe.feats.Variant","udpipe.feats.VerbForm","udpipe.feats.Voice","udpipe.misc.B-P","udpipe.misc.B-ah","udpipe.misc.B-az","udpipe.misc.B-gu","udpipe.misc.B-ic","udpipe.misc.B-if","udpipe.misc.B-mn","udpipe.misc.B-n_","udpipe.misc.B-nb","udpipe.misc.B-oa","udpipe.misc.B-pd","udpipe.misc.B-pf","udpipe.misc.B-ps","udpipe.misc.B-ty","udpipe.misc.I-P","udpipe.misc.I-ic","udpipe.misc.I-if","udpipe.misc.I-oa","udpipe.misc.I-pd","udpipe.misc.I-pf","udpipe.misc.I-ps","udpipe.misc.SpaceAfter"
"1","70","70","11","I-n_","Number expression (General)","","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","č","číslo","12","O","","Yes","","","","","","","","Neut","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","13","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","pot","pot","14","O","","","","Inan","","Nom","","","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","1","1","15","B-n_","Number expression (General)","","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","16","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","(","(","17","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","PLESIVEC","plesivec","18","B-g_","Geographical name (General)","","","Anim","","Nom","","","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",")",")","19","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","I","i","20","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Příbram","Příbram","21","B-gu","Settlement name (City/Town)","","","","","Nom","","","","Fem","","","","Geo","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","ČÍSLO","číslo","22","O","","","","","","Nom","","","","Neut","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","PARCELY","parcela","23","O","","","","","","Gen","","","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","NÁZEV","název","24","O","","","","Inan","","Nom","","","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","TRATI","trať","25","O","","","","","","Gen","","","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Přílohy","příloha","1","O","","","","","","Nom","","","","Fem","","","","","","","Plur","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","4","4","2","B-nc","Cardinal number","","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","tab","tab","3","O","","Yes","","Inan","","","","","","Masc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","4","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","vrch","vrch","5","O","","","","Inan","","Nom","","","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Kultura","kultura","6","O","","","","","","Nom","","","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","mladší","mladý","7","O","","","","","","Nom","","Cmp","","Fem","","","","","","","Sing","","Pos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Plešivec","plešivec","8","B-g_","Geographical name (General)","","","Anim","","Nom","","","","Masc","","","","Giv","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","doba","doba","9","O","","","","","","Nom","","","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","ČÍSLO","číslo","10","O","","","","","","Nom","","","","Neut","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","bronzová","bronzový","11","O","","","","","","Nom","","Pos","","Fem","","","","","","","Sing","","Pos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","12","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Druh","druh","1","O","","","","Inan","","Nom","","","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","nálezu","nález","2","O","","","","Inan","","Gen","","","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","bronzů","bronz","3","O","","","","Inan","","Gen","","","","Masc","","","","","","","Plur","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","hromadný","hromadný","4","O","","","","Inan","","Nom","","Pos","","Masc","","","","","","","Sing","","Pos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","nález","nález","5","O","","","","Inan","","Nom","","","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",")",")","6","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","/","/","7","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","!","!","8","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","/","/","9","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","LITERATURA","literatura","10","O","","","","","","Nom","","","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","0","0","11","B-P","Complex personal names","","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","","Yes","","","","","","","","","","No"
"1",".",".","12","I-P","Complex personal names","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","",""
"1","Kytlicová","Kytlicová","13","I-P","Complex personal names","","","","","Nom","","","","Fem","","","","Giv","","","Sing","","","","","","","","","","","","","","","","","","","","","","","Yes","","","","","","","","","No"
"1",",",",","14","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Ceské","ceský","15","B-oa","Cultural artifact (Book/Painting)","","","Inan","","Nom","","Pos","","Masc","","","","","","","Plur","","Pos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","hromadné","hromadný","16","I-oa","Cultural artifact (Book/Painting)","","","Inan","","Nom","","Pos","","Masc","","","","","","","Plur","","Pos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","nálezy","nález","17","I-oa","Cultural artifact (Book/Painting)","","","Inan","","Nom","","","","Masc","","","","","","","Plur","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",",",",","18","I-oa","Cultural artifact (Book/Painting)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","bronzů","bronz","19","I-oa","Cultural artifact (Book/Painting)","","","Inan","","Gen","","","","Masc","","","","","","","Plur","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","z","z","20","I-oa","Cultural artifact (Book/Painting)","","Prep","","","Gen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","období","období","21","I-oa","Cultural artifact (Book/Painting)","","","","","Gen","","","","Neut","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","knovízské","knovízský","22","I-oa","Cultural artifact (Book/Painting)","","","","","Gen","","Pos","","Fem","","","","","","","Sing","","Pos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","kultury","kultura","23","I-oa","Cultural artifact (Book/Painting)","","","","","Gen","","","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",",",",","24","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Kandidátská","kandidátský","25","B-oa","Cultural artifact (Book/Painting)","","","","","Nom","","Pos","","Fem","","","","","","","Sing","","Pos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","disertace","disertace","26","I-oa","Cultural artifact (Book/Painting)","","","","","Nom","","","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",",",",","27","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Praha","Praha","28","B-gu","Settlement name (City/Town)","","","","","Nom","","","","Fem","","","","Geo","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","1965","1965","29","B-ty","Year","","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",";",";","30","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","B","B","1","B-P","Complex personal names","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","","","","","","","","","","No"
"1",".",".","2","I-P","Complex personal names","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","",""
"1","Jelínek","Jelínek","3","I-P","Complex personal names","","","Anim","","Nom","","","","Masc","","","","Giv","","","Sing","","","","","","","","","","","","","","","","","","","","","","","Yes","","","","","","","","","No"
"1",",",",","4","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","Volkskunde","Volkskunde","5","B-oa","Cultural artifact (Book/Painting)","","","","","","","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","B","B","6","I-oa","Cultural artifact (Book/Painting)","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","8","8","7","I-oa","Cultural artifact (Book/Painting)","","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","h","h","8","I-oa","Cultural artifact (Book/Painting)","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","-","-","9","I-oa","Cultural artifact (Book/Painting)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","III","III","10","I-oa","Cultural artifact (Book/Painting)","","","","","","","","","","","","","","Roman","Card","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Plešivec","Plešivec","11","I-oa","Cultural artifact (Book/Painting)","","","","","","","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","und","und","12","I-oa","Cultural artifact (Book/Painting)","","","","","","","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","seínemens","seínemens","13","I-oa","Cultural artifact (Book/Painting)","","","","","","","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","nähste","nähste","14","I-oa","Cultural artifact (Book/Painting)","","","","","","","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Umgebung","Umgebung","15","I-oa","Cultural artifact (Book/Painting)","","","","","","","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","ia","ia","16","I-oa","Cultural artifact (Book/Painting)","","","","","","","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","der","der","17","I-oa","Cultural artifact (Book/Painting)","","","","","","","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Vorgeschichte","Vorgeschichte","18","I-oa","Cultural artifact (Book/Painting)","","","","","","","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","XXVI","XXVI","19","I-oa","Cultural artifact (Book/Painting)","","","","","","","","","","","","","","Roman","Card","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","1896.215","1896.215","20","I-oa","Cultural artifact (Book/Painting)","","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",";",";","21","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","H","H","22","B-P","Complex personal names","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","","","","","","","","","","No"
"1",".",".","23","I-P","Complex personal names","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","",""
"1","Richlý","Richlý","24","I-P","Complex personal names","","","Anim","","Nom","","","","Masc","","","","Giv","","","Sing","","","","","","","","","","","","","","","","","","","","","","","Yes","","","","","","","","","No"
"1",",",",","25","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","MAGW","MAGW","26","B-oa","Cultural artifact (Book/Painting)","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Bronzezeít","Bronzezeít","27","I-oa","Cultural artifact (Book/Painting)","","","","","","","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","62","62","28","I-oa","Cultural artifact (Book/Painting)","","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","-","-","29","I-oa","Cultural artifact (Book/Painting)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","66","66","30","I-oa","Cultural artifact (Book/Painting)","","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",",",",","31","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","t","t","32","O","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","33","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","I","I","34","O","","","","","","","","","","","","","","","Roman","Card","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","-","-","35","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","II","II","36","O","","","","","","","","","","","","","","","Roman","Card","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",";",";","37","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","J","J","1","B-P","Complex personal names","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","","","","","","","","","","No"
"1",".",".","2","I-P","Complex personal names","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","",""
"1","Maličký","Maličký","3","I-P","Complex personal names","","","Anim","","Nom","","","","Masc","","","","Giv","","","Sing","","","","","","","","","","","","","","","","","","","","","","","Yes","","","","","","","","","No"
"1",",",",","4","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Předslovan","předslovan","5","B-oa","Cultural artifact (Book/Painting)","","","Inan","","Nom","","","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","ská","ský","6","I-oa","Cultural artifact (Book/Painting)","","","","","Nom","","Pos","","Neut","","","","","","","Plur","","Pos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","hradiště","hradiště","7","I-oa","Cultural artifact (Book/Painting)","","","","","Nom","","","","Neut","","","","","","","Plur","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",",",",","8","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","disertační","disertační","9","O","","","","","","Nom","","Pos","","Fem","","","","","","","Sing","","Pos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","práce","práce","10","O","","","","","","Nom","","","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","11","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1",".",".","1","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Uložení","uložení","2","O","","","","","","Nom","","","","Neut","","","","","","","Sing","","","","","","","","","Vnoun","","","","","","","","","","","","","","","","","","","","","","",""
"1","NM","NM","3","B-oe","Measure unit","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","čb","čbíslo","4","O","","Yes","","Inan","","","","","","Masc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","5","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","í","í","6","O","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","=","=","7","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","v","v","8","O","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","9","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","13196","13196","10","B-n_","Number expression (General)","","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","-","-","11","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","15206","15206","12","B-n_","Number expression (General)","","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",",",",","13","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","713207","713207","14","B-n_","Number expression (General)","","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","/","/","15","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","15208","15208","16","B-n_","Number expression (General)","","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","-","-","17","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","13212","13212","18","B-n_","Number expression (General)","","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",",",",","19","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","/","/","20","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","15215","15215","21","B-n_","Number expression (General)","","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","/","/","22","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",",",",","23","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","*","*","24","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","15214","15214","25","B-n_","Number expression (General)","","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","-","-","26","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","15222","15222","27","B-n_","Number expression (General)","","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","/","/","28","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","29","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Zprávu","zpráva","1","O","","","","","","Acc","","","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",",",",","2","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","podává","podávat","3","O","","","","","Imp","","","","","","","","Ind","","","","Sing","3","Pos","","","","","Pres","","Fin","Act","","","","","","","","","","","","","","","","","","","","","","No"
"1",";",";","4","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Dr","Dr","1","B-P","Complex personal names","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","","","","","","","","","","","No"
"1",".",".","2","I-P","Complex personal names","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","","",""
"1","Olga","Olga","3","I-P","Complex personal names","","","","","Nom","","","","Fem","","","","Giv","","","Sing","","","","","","","","","","","","","","","","","","","","","","Yes","","","","","","","","","",""
"1","Kytlicoá","Kytlicoá","4","I-P","Complex personal names","","","","","Nom","","","","Fem","","","","Giv","","","Sing","","","","","","","","","","","","","","","","","","","","","","","Yes","","","","","","","","",""
"1","I","I","5","O","","","","","","","","","","","","","","","Roman","Card","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Běřín","Běřín","6","B-gu","Settlement name (City/Town)","","","Inan","","Nom","","","","Masc","","","","Geo","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","/","/","7","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","též","též","8","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Jince","Jince","9","B-gu","Settlement name (City/Town)","","","","","Nom","","","","Fem","","","","Geo","","","Plur","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",",",",","10","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","dle","dle","11","O","","","Prep","","","Gen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Maličkéno","Maličkéno","12","O","","","","Anim","","","","","","Masc","","","","Giv","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","k","k","13","O","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","14","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","o","o","15","O","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","16","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Čenkov","Čenkov","1","B-gu","Settlement name (City/Town)","","","Inan","","Nom","","","","Masc","","","","Geo","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","/","/","2","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","3","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Roku","rok","1","O","","","","Inan","","Gen","","","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
