"page_id","token","lemma","position","nameTag","NE","udpipe.feats.Abbr","udpipe.feats.AdpType","udpipe.feats.Animacy","udpipe.feats.Aspect","udpipe.feats.Case","udpipe.feats.ConjType","udpipe.feats.Degree","udpipe.feats.Foreign","udpipe.feats.Gender","udpipe.feats.Gender[psor]","udpipe.feats.Hyph","udpipe.feats.Mood","udpipe.feats.NameType","udpipe.feats.NumForm","udpipe.feats.NumType","udpipe.feats.Number","udpipe.feats.Number[psor]","udpipe.feats.Person","udpipe.feats.Polarity","udpipe.feats.Poss","udpipe.feats.PrepCase","udpipe.feats.PronType","udpipe.feats.Reflex","udpipe.feats.Tense","udpipe.feats.Variant","udpipe.feats.VerbForm","udpipe.feats.Voice","udpipe.misc.B-ah","udpipe.misc.B-az","udpipe.misc.B-gr","udpipe.misc.B-gu","udpipe.misc.B-ic","udpipe.misc.B-nb","udpipe.misc.B-oa","udpipe.misc.B-oe","udpipe.misc.B-pf","udpipe.misc.B-ps","udpipe.misc.B-ty","udpipe.misc.I-az","udpipe.misc.I-ic","udpipe.misc.I-oa","udpipe.misc.I-pf","udpipe.misc.SpaceAfter"
"1",",",",","8","I-A","Complex Address/Number/Time","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","","","","No"
"1","5","5","9","I-A","Complex Address/Number/Time","","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","","","Yes","","","","No"
"1","km","kilometr","10","I-A","Complex Address/Number/Time","Yes","","Inan","","","","","","Masc","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","","","","","","","",""
"1","JV","JV","11","I-A","Complex Address/Number/Time","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","od","od","12","O","","","Prep","","","Gen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Tábora","Tábor","13","B-gu","Settlement name (City/Town)","","","Inan","","Gen","","","","Masc","","","","Geo","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",";",";","14","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Ikm","ikm","1","O","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","sev","sev","2","O","","Yes","","","","","","Pos","","","","","","","","","","","","Pos","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","3","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","od","od","4","O","","","Prep","","","Gen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","silnice","silnice","5","O","","","","","","Gen","","","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Planá","Planá","6","B-gu","Settlement name (City/Town)","","","","","Nom","","","","Fem","","","","Geo","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","n.Lu","N.lu","7","I-gu","Settlement name (City/Town)","","","","","","","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","ž","ž","8","I-gu","Settlement name (City/Town)","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","9","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","-","-","1","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Turovec","Turovec","2","B-gu","Settlement name (City/Town)","","","Inan","","Nom","","","","Masc","","","","Geo","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","-","-","3","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","Chýnov","Chýnov","4","B-gu","Settlement name (City/Town)","","","Inan","","Nom","","","","Masc","","","","Geo","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",";",";","5","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","v","v","6","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","lese","les","7","O","","","","Inan","","Loc","","","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","s","s","8","O","","","Prep","","","Ins","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","pomístním","pomístní","9","O","","","","Inan","","Ins","","Pos","","Masc","","","","","","","Sing","","","Pos","","","","","","","","","","","","","","","","","","","","","","","",""
"1","názvem","název","10","O","","","","Inan","","Ins","","","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","""","""","11","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","Stará","starý","12","B-oa","Cultural artifact (Book/Painting)","","","","","Nom","","Pos","","Fem","","","","","","","Sing","","","Pos","","","","","","","","","","","","","","","","","","","","","","","",""
"1","ves","ves","13","I-oa","Cultural artifact (Book/Painting)","","","","","Nom","","","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","""","""","14","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","/","/","15","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","""","""","16","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","Pustá","pustý","17","B-oa","Cultural artifact (Book/Painting)","","","","","Nom","","Pos","","Fem","","","","","","","Sing","","","Pos","","","","","","","","","","","","","","","","","","","","","","","",""
"1","ves","ves","18","I-oa","Cultural artifact (Book/Painting)","","","","","Nom","","","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","""","""","19","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","/","/","20","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","21","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","ZM","ZM","1","O","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","23","23","2","B-n_","Number expression (General)","","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","-","-","3","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","133","133","4","B-n_","Number expression (General)","","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Tábor","Tábor","5","B-gu","Settlement name (City/Town)","","","Inan","","Nom","","","","Masc","","","","Geo","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",",",",","6","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","217","217","7","B-nc","Cardinal number","","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","od","od","8","O","","","Prep","","","Gen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Z","Z","9","O","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","a","a","10","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","65","65","11","B-nc","Cardinal number","","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","mm","milimetr","12","B-oe","Measure unit","Yes","","Inan","","","","","","Masc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","od","od","13","O","","","Prep","","","Gen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","J","J","14","O","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","s","skciový","15","O","","Yes","","","","","","Pos","","","","","","","","","","","","Pos","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","16","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","č","číslo","17","O","","Yes","","","","","","","","Neut","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","18","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","OKOL","okol","1","O","","","","Inan","","Nom","","","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",":",":","2","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Systematický","systematický","3","O","","","","Inan","","Nom","","Pos","","Masc","","","","","","","Sing","","","Pos","","","","","","","","","","","","","","","","","","","","","","","",""
"1","výzkum","výzkum","4","O","","","","Inan","","Nom","","","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","zaniklé","zaniklý","5","O","","","","","","Gen","","Pos","","Fem","","","","","","","Sing","","","Pos","","","","","","","","","","","","","","","","","","","","","","","",""
"1","středověké","středověký","6","O","","","","","","Gen","","Pos","","Fem","","","","","","","Sing","","","Pos","","","","","","","","","","","","","","","","","","","","","","","",""
"1","vesnice","vesnice","7","O","","","","","","Gen","","","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Kravín","Kravín","8","B-gu","Settlement name (City/Town)","","","Inan","","Nom","","","","Masc","","","","Geo","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","9","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","NÁLEZ","nález","1","O","","","","Inan","","Nom","","","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",":",":","2","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Po","po","3","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","předchozích","předchozí","4","O","","","","Inan","","Loc","","Pos","","Masc","","","","","","","Plur","","","Pos","","","","","","","","","","","","","","","","","","","","","","","",""
"1","výzkumech","výzkum","5","O","","","","Inan","","Loc","","","","Masc","","","","","","","Plur","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","v","v","6","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","letech","léta","7","O","","","","","","Loc","","","","Neut","","","","","","","Plur","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","1965","1965","8","B-ty","Year","","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","-","-","9","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","1967","1967","10","B-ty","Year","","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","a","a","11","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","1973","1973","12","B-ty","Year","","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","-","-","13","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","1974","1974","14","B-ty","Year","","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","odkryt","odkrytý","15","O","","","","","Perf","","","Pos","","Masc","","","","","","","Sing","","","Pos","","","","","","Short","Part","Pass","","","","","","","","","","","","","","","",""
"1","jeden","jeden","16","O","","","","","","Nom","","","","Masc","","","","","Word","Card","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","z","z","17","O","","","Prep","","","Gen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","dalších","další","18","O","","","","Inan","","Gen","","Pos","","Masc","","","","","","","Plur","","","Pos","","","","","","","","","","","","","","","","","","","","","","","",""
"1","objektů","objekt","19","O","","","","Inan","","Gen","","","","Masc","","","","","","","Plur","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","ZSV","ZSV","20","B-io","Organization/Society","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",",",",","21","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","tentokrát","tentokrát","22","O","","","","","","","","","","","","","","","","","","","","","","","Dem","","","","","","","","","","","","","","","","","","","","",""
"1","jako","jako","23","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","součást","součást","24","O","","","","","","Nom","","","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","""","""","25","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","Experimentu","experiment","26","B-ia","Conference/Contest","","","Inan","","Gen","","","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","na","na","27","I-ia","Conference/Contest","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","středověkém","středověký","28","I-ia","Conference/Contest","","","Inan","","Loc","","Pos","","Masc","","","","","","","Sing","","","Pos","","","","","","","","","","","","","","","","","","","","","","","",""
"1","objektu","objekt","29","I-ia","Conference/Contest","","","Inan","","Loc","","","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","""","""","30","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",",",",","31","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","prováděném","prováděný","32","O","","","","Inan","","Loc","","Pos","","Masc","","","","","","","Sing","","","Pos","","","","","","","Part","Pass","","","","","","","","","","","","","","","",""
"1","ve","v","33","O","","","Voc","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","spolupráci","spolupráce","34","O","","","","","","Loc","","","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","AÚ","AÚ","35","B-ic","Cult/Educational institution","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","ČSAV","ČSAV","36","I-ic","Cult/Educational institution","Yes","","","","","","","","","","","","Oth","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Praha","Praha","37","I-ic","Cult/Educational institution","","","","","Nom","","","","Fem","","","","Geo","","","Sing","","","","","","","","","","","","","","","Yes","","","","","","","","","","","",""
"1","a","a","38","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","MHRH","MHRH","39","B-ic","Cult/Educational institution","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Tábor","Tábor","40","I-ic","Cult/Educational institution","","","Inan","","Nom","","","","Masc","","","","Geo","","","Sing","","","","","","","","","","","","","","","Yes","","","","","","","","","","","","No"
"1",".",".","41","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Výzkumem","výzkum","1","O","","","","Inan","","Ins","","","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","měla","mít","2","O","","","","","Imp","","","","","Fem,Neut","","","","","","","Plur,Sing","","","Pos","","","","","Past","","Part","Act","","","","","","","","","","","","","","","",""
"1","být","být","3","O","","","","","Imp","","","","","","","","","","","","","","","Pos","","","","","","","Inf","","","","","","","","","","","","","","","","",""
"1","ověřena","ověřený","4","O","","","","","Perf","","","Pos","","Fem,Neut","","","","","","","Plur,Sing","","","Pos","","","","","","Short","Part","Pass","","","","","","","","","","","","","","","",""
"1","vypovídací","vypovídací","5","O","","","","","","Nom","","Pos","","Fem","","","","","","","Sing","","","Pos","","","","","","","","","","","","","","","","","","","","","","","",""
"1","schopnost","schopnost","6","O","","","","","","Nom","","","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","geodeticko","geodeticko","7","O","","","","","","","","Pos","","","","Yes","","","","","","","","Pos","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","-","-","8","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","topografického","topografický","9","O","","","","Inan","","Gen","","Pos","","Masc","","","","","","","Sing","","","Pos","","","","","","","","","","","","","","","","","","","","","","","",""
"1","průzkumu","průzkum","10","O","","","","Inan","","Gen","","","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","v","v","11","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","detailní","detailní","12","O","","","","","","Loc","","Pos","","Fem","","","","","","","Sing","","","Pos","","","","","","","","","","","","","","","","","","","","","","","",""
"1","situaci","situace","13","O","","","","","","Loc","","","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","jednoho","jeden","14","O","","","","","","Gen","","","","Masc,Neut","","","","","Word","Card","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","z","z","15","O","","","Prep","","","Gen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","objektů","objekt","16","O","","","","Inan","","Gen","","","","Masc","","","","","","","Plur","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","17","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Archeologický","archeologický","1","O","","","","Inan","","Nom","","Pos","","Masc","","","","","","","Sing","","","Pos","","","","","","","","","","","","","","","","","","","","","","","",""
"1","výzkum","výzkum","2","O","","","","Inan","","Nom","","","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","byl","být","3","O","","","","","Imp","","","","","Masc","","","","","","","Sing","","","Pos","","","","","Past","","Part","Act","","","","","","","","","","","","","","","",""
"1","zařazen","zařazený","4","O","","","","","Perf","","","Pos","","Masc","","","","","","","Sing","","","Pos","","","","","","Short","Part","Pass","","","","","","","","","","","","","","","",""
"1","do","do","5","O","","","Prep","","","Gen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","výzkumného","výzkumný","6","O","","","","Inan","","Gen","","Pos","","Masc","","","","","","","Sing","","","Pos","","","","","","","","","","","","","","","","","","","","","","","",""
"1","úkolu","úkol","7","O","","","","Inan","","Gen","","","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","systematického","systematický","8","O","","","","","","Gen","","Pos","","Neut","","","","","","","Sing","","","Pos","","","","","","","","","","","","","","","","","","","","","","","",""
"1","zkoumání","zkoumání","9","O","","","","","","Gen","","","","Neut","","","","","","","Sing","","","","","","","","","","Vnoun","","","","","","","","","","","","","","","","",""
"1","ZSV","ZSV","10","B-io","Organization/Society","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","tzv","takzvaný","11","O","","Yes","","","","","","Pos","","","","","","","","","","","","Pos","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","12","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","husitského","husitský","13","O","","","","","","Gen","","Pos","","Neut","","","","","","","Sing","","","Pos","","","","","","","","","","","","","","","","","","","","","","","",""
"1","období","období","14","O","","","","","","Gen","","","","Neut","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","na","na","15","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Táborskú","Táborskú","16","B-gr","Territorial name (State/Region)","","","","","Loc","","","","Neut","","","","Geo","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","17","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Výzkumem","výzkum","1","O","","","","Inan","","Ins","","","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","byl","být","2","O","","","","","Imp","","","","","Masc","","","","","","","Sing","","","Pos","","","","","Past","","Part","Act","","","","","","","","","","","","","","","",""
"1","zjištěn","zjištěný","3","O","","","","","Perf","","","Pos","","Masc","","","","","","","Sing","","","Pos","","","","","","Short","Part","Pass","","","","","","","","","","","","","","","",""
"1","jednoprostorový","jednoprostorový","4","O","","","","Inan","","Nom","","Pos","","Masc","","","","","","","Sing","","","Pos","","","","","","","","","","","","","","","","","","","","","","","",""
"1","obytný","obytný","5","O","","","","Inan","","Nom","","Pos","","Masc","","","","","","","Sing","","","Pos","","","","","","","","","","","","","","","","","","","","","","","",""
"1","objekt","objekt","6","O","","","","Inan","","Nom","","","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","zemnicové","zemnicový","7","O","","","","","","Gen","","Pos","","Fem","","","","","","","Sing","","","Pos","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","-","-","8","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","ho","on","9","O","","","","","","Acc","","","","Masc,Neut","","","","","","","Sing","","3","","","","Prs","","","Short","","","","","","","","","","","","","","","","","",""
"1","typu","typ","10","O","","","","Inan","","Gen","","","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","s","s","11","O","","","Prep","","","Ins","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","prostým","prostý","12","O","","","","","","Ins","","Pos","","Neut","","","","","","","Sing","","","Pos","","","","","","","","","","","","","","","","","","","","","","","",""
"1","otevřeným","otevřený","13","O","","","","","","Ins","","Pos","","Neut","","","","","","","Sing","","","Pos","","","","","","","Part","Pass","","","","","","","","","","","","","","","",""
"1","ohništěm","ohniště","14","O","","","","","","Ins","","","","Neut","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
