"page_id","token","lemma","position","nameTag","NE","udpipe.feats.Abbr","udpipe.feats.AdpType","udpipe.feats.Animacy","udpipe.feats.Aspect","udpipe.feats.Case","udpipe.feats.Degree","udpipe.feats.Gender","udpipe.feats.Gender[psor]","udpipe.feats.Hyph","udpipe.feats.Mood","udpipe.feats.NameType","udpipe.feats.NumForm","udpipe.feats.NumType","udpipe.feats.Number","udpipe.feats.Number[psor]","udpipe.feats.Person","udpipe.feats.Polarity","udpipe.feats.Poss","udpipe.feats.PrepCase","udpipe.feats.PronType","udpipe.feats.Reflex","udpipe.feats.Tense","udpipe.feats.Variant","udpipe.feats.VerbForm","udpipe.feats.Voice","udpipe.misc.B-pf","udpipe.misc.B-ps","udpipe.misc.B-td","udpipe.misc.B-tm","udpipe.misc.B-ty","udpipe.misc.I-pf","udpipe.misc.I-td","udpipe.misc.I-tm","udpipe.misc.SpaceAfter"
"1","popelovitými","popelovitý","9","O","","","","","","Ins","Pos","Fem","","","","","","","Plur","","","Pos","","","","","","","","","","","","","","","","",""
"1","vrstvami","vrstva","10","O","","","","","","Ins","","Fem","","","","","","","Plur","","","","","","","","","","","","","","","","","","","",""
"1","a","a","11","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","nálezy","nález","12","O","","","","Inan","","Ins","","Masc","","","","","","","Plur","","","","","","","","","","","","","","","","","","","",""
"1",",",",","13","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","příčně","příčně","14","O","","","","","","","Pos","","","","","","","","","","","Pos","","","","","","","","","","","","","","","","",""
"1","členěný","členěný","15","O","","","","Inan","","Nom","Pos","Masc","","","","","","","Sing","","","Pos","","","","","","","Part","Pass","","","","","","","","",""
"1","zídkou","zídka","16","O","","","","","","Ins","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","","","","",""
"1","a","a","17","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","řadou","řada","18","O","","","","","","Ins","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","","","","",""
"1","kůlů","kůl","19","O","","","","Inan","","Gen","","Masc","","","","","","","Plur","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","20","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","e","e","1","O","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","nutno","nutný","2","O","","","","","","","Pos","Neut","","","","","","","Sing","","","Pos","","","","","","Short","","","","","","","","","","",""
"1","zde","zde","3","O","","","","","","","","","","","","","","","","","","","","","Dem","","","","","","","","","","","","","",""
"1","rozlišit","rozlišit","4","O","","","","","Perf","","","","","","","","","","","","","Pos","","","","","","","Inf","","","","","","","","","",""
"1","2","2","5","B-nc","Cardinal number","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","",""
"1","základní","základní","6","O","","","","","","Acc","Pos","Fem","","","","","","","Plur","","","Pos","","","","","","","","","","","","","","","","",""
"1","slovanské","slovanský","7","O","","","","","","Acc","Pos","Fem","","","","","","","Plur","","","Pos","","","","","","","","","","","","","","","","",""
"1","sídlištní","sídlištní","8","O","","","","","","Acc","Pos","Fem","","","","","","","Plur","","","Pos","","","","","","","","","","","","","","","","",""
"1","fáse","fáse","9","O","","","","","","Acc","","Fem","","","","","","","Plur","","","","","","","","","","","","","","","","","","","",""
"1","a","a","10","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","třetí","třetí","11","O","","","","","","Acc","","Fem","","","","","","Ord","Sing","","","","","","","","","","","","","","","","","","","",""
"1","ve","v","12","O","","","Voc","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","formě","forma","13","O","","","","","","Loc","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","","","","",""
"1","stavební","stavební","14","O","","","","","","Gen","Pos","Fem","","","","","","","Sing","","","Pos","","","","","","","","","","","","","","","","",""
"1","úpravy","úprava","15","O","","","","","","Gen","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","16","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Z","z","1","O","","","Prep","","","Gen","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","nejstarší","starý","2","O","","","","","","Gen","Sup","Fem","","","","","","","Sing","","","Pos","","","","","","","","","","","","","","","","",""
"1","fáse","fáse","3","O","","","","","","Gen","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","","","","",""
"1","pocházejí","pocházet","4","O","","","","","Imp","","","","","","Ind","","","","Plur","","3","Pos","","","","","Pres","","Fin","Act","","","","","","","","",""
"1","3","3","5","B-nc","Cardinal number","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","",""
"1","hluboké","hluboký","6","O","","","","","","Nom","Pos","Fem","","","","","","","Plur","","","Pos","","","","","","","","","","","","","","","","",""
"1","zásobní","zásobní","7","O","","","","","","Nom","Pos","Fem","","","","","","","Plur","","","Pos","","","","","","","","","","","","","","","","",""
"1","LÁzE","láze","8","O","","","","","","Nom","","Fem","","","","","","","Plur","","","","","","","","","","","","","","","","","","","",""
"1","j","j","9","O","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","ámy","áma","10","O","","","","","","Nom","","Fem","","","","","","","Plur","","","","","","","","","","","","","","","","","","","",""
"1",".",".","11","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Pracoviště","pracoviště","1","O","","","","","","Nom","","Neut","","","","","","","Sing","","","","","","","","","","","","","","","","","","","",""
"1","5","5","2","B-n_","Number expression (General)","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","No"
"1","/","/","3","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","56","56","4","B-n_","Number expression (General)","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","No"
"1",":",":","5","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Sondou","sonda","6","O","","","","","","Ins","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","","","","",""
"1","bylo","být","7","O","","","","","Imp","","","Neut","","","","","","","Sing","","","Pos","","","","","Past","","Part","Act","","","","","","","","",""
"1","zachyceno","zachycený","8","O","","","","","Perf","","Pos","Neut","","","","","","","Sing","","","Pos","","","","","","Short","Part","Pass","","","","","","","","",""
"1","prostorově","prostorově","9","O","","","","","","","Pos","","","","","","","","","","","Pos","","","","","","","","","","","","","","","","",""
"1","omezené","omezený","10","O","","","","","","Nom","Pos","Neut","","","","","","","Sing","","","Pos","","","","","","","Part","Pass","","","","","","","","",""
"1","řadové","řadový","11","O","","","","","","Nom","Pos","Neut","","","","","","","Sing","","","Pos","","","","","","","","","","","","","","","","",""
"1","pohřebiště","pohřebiště","12","O","","","","","","Nom","","Neut","","","","","","","Sing","","","","","","","","","","","","","","","","","","","",""
"1","s","s","13","O","","","Prep","","","Ins","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","20","20","14","B-nc","Cardinal number","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","",""
"1","hrobovými","hrobový","15","O","","","","","","Ins","Pos","Fem","","","","","","","Plur","","","Pos","","","","","","","","","","","","","","","","",""
"1","jamami","jama","16","O","","","","","","Ins","","Fem","","","","","","","Plur","","","","","","","","","","","","","","","","","","","",""
"1","a","a","17","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","57","57","18","B-nc","Cardinal number","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","",""
"1","pohřby","pohřeb","19","O","","","","Inan","","Ins","","Masc","","","","","","","Plur","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","20","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","Hroby","hrob","1","O","","","","Inan","","Nom","","Masc","","","","","","","Plur","","","","","","","","","","","","","","","","","","","",""
"1","byly","být","2","O","","","","Inan","Imp","","","Fem,Masc","","","","","","","Plur","","","Pos","","","","","Past","","Part","Act","","","","","","","","",""
"1","obloženy","obložený","3","O","","","","Inan","Perf","","Pos","Fem,Masc","","","","","","","Plur","","","Pos","","","","","","Short","Part","Pass","","","","","","","","",""
"1","kameny","kámen","4","O","","","","Inan","","Ins","","Masc","","","","","","","Plur","","","","","","","","","","","","","","","","","","","","No"
"1",",",",","5","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","kostry","kostra","6","O","","","","","","Nom","","Fem","","","","","","","Plur","","","","","","","","","","","","","","","","","","","",""
"1","v","v","7","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","natažené","natažený","8","O","","","","","","Loc","Pos","Fem","","","","","","","Sing","","","Pos","","","","","","","","","","","","","","","","",""
"1","poloze","poloha","9","O","","","","","","Loc","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","","","","",""
"1","V","V","1","O","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","-","-","2","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","Z","Z","3","O","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","orientace","orientace","4","O","","","","","","Gen","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","No"
"1",",",",","5","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
