"page_id","token","lemma","position","nameTag","NE","udpipe.feats.Abbr","udpipe.feats.AdpType","udpipe.feats.Animacy","udpipe.feats.Aspect","udpipe.feats.Case","udpipe.feats.ConjType","udpipe.feats.Degree","udpipe.feats.Foreign","udpipe.feats.Gender","udpipe.feats.Gender[psor]","udpipe.feats.Hyph","udpipe.feats.Mood","udpipe.feats.NameType","udpipe.feats.NumForm","udpipe.feats.NumType","udpipe.feats.Number","udpipe.feats.Number[psor]","udpipe.feats.Person","udpipe.feats.Polarity","udpipe.feats.Poss","udpipe.feats.PrepCase","udpipe.feats.PronType","udpipe.feats.Reflex","udpipe.feats.Tense","udpipe.feats.Variant","udpipe.feats.VerbForm","udpipe.feats.Voice","udpipe.misc.B-gh","udpipe.misc.B-gu","udpipe.misc.B-pf","udpipe.misc.B-ps","udpipe.misc.B-td","udpipe.misc.B-tm","udpipe.misc.B-ty","udpipe.misc.I-pf","udpipe.misc.I-td","udpipe.misc.SpaceAfter"
"1",".",".","14","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","a","a","15","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","k«Uurn","k«uurn","16","O","","","","Inan","","Nom","","","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","No"
"1",":",":","17","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","ojedinělý","ojedinělý","18","O","","","","Inan","","Nom","","Pos","","Masc","","","","","","","Sing","","","Pos","","","","","","","","","","","","","","","","","",""
"1","-","-","19","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","únětická","únětický","20","O","","","","","","Nom","","Pos","","Neut","","","","","","","Plur","","","Pos","","","","","","","","","","","","","","","","","",""
"1","pohřebiště","pohřebiště","21","O","","","","","","Nom","","","","Neut","","","","","","","Plur","","","","","","","","","","","","","","","","","","","","",""
"1","-","-","22","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","lužická","lužický","23","O","","","","","","Nom","","Pos","","Neut","","","","","","","Plur","","","Pos","","","","","","","","","","","","","","","","","",""
"1","ved","ved","24","O","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","25","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","výzkurnu","výzkurn","26","O","","","","Inan","","Gen","","","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","",""
"1","Zdráva","Zdráva","27","O","","","","Anim","","Nom","","","","Masc","","","","Giv","","","Sing","","","","","","","","","","","","","","","","","","","","",""
"1","/","/","28","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","za","za","29","O","","","Prep","","","Ins","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","obdobi","obdobe","30","O","","","","","","Acc","","","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","",""
"1","veý","veý","31","O","","Yes","","","","","","Pos","","","","","","","","","","","","Pos","","","","","","","","","","","","","","","","","","No"
"1",".",".","32","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","oddélcni","oddélceň","33","O","","","","Anim","","Nom","","","","Masc","","","","","","","Plur","","","","","","","","","","","","","","","","","","","","",""
"1","Dne","den","34","O","","","","Inan","","Gen","","","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","",""
"1","26.1","26.1","35","B-T","Complex time expressions","","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","Yes","","","","","No"
"1","X","X","36","I-T","Complex time expressions","Yes","","Inan","","","","","","Masc","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","No"
"1",".",".","37","I-T","Complex time expressions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","No"
"1","1957","1957","38","I-T","Complex time expressions","","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","Yes","","",""
"1","jsem","být","39","O","","","","","Imp","","","","","","","","Ind","","","","Sing","","1","Pos","","","","","Pres","","Fin","Act","","","","","","","","","",""
"1","zajel","zajet","40","O","","","","","Perf","","","","","Masc","","","","","","","Sing","","","Pos","","","","","Past","","Part","Act","","","","","","","","","",""
"1","do","do","41","O","","","Prep","","","Gen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Chodoun","Chodouny","42","B-gu","Settlement name (City/Town)","","","","","Gen","","","","Fem","","","","Geo","","","Plur","","","","","","","","","","","","","","","","","","","","","No"
"1",",",",","43","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","aby","aby","44","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","bych","být","45","O","","","","","Imp","","","","","","","","Cnd","","","","Sing","","1","","","","","","","","Fin","","","","","","","","","","",""
"1","zjistil","zjistit","46","O","","","","","Perf","","","","","Masc","","","","","","","Sing","","","Pos","","","","","Past","","Part","Act","","","","","","","","","",""
"1","možnosti","možnost","47","O","","","","","","Acc","","","","Fem","","","","","","","Plur","","","","","","","","","","","","","","","","","","","","",""
"1","výzkumu","výzkum","48","O","","","","Inan","","Gen","","","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","",""
"1","lužického","lužický","49","O","","","","","","Gen","","Pos","","Neut","","","","","","","Sing","","","Pos","","","","","","","","","","","","","","","","","",""
"1","žárového","žárový","50","O","","","","","","Gen","","Pos","","Neut","","","","","","","Sing","","","Pos","","","","","","","","","","","","","","","","","",""
"1","pohřebiště","pohřebiště","51","O","","","","","","Gen","","","","Neut","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","No"
"1",",",",","52","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","plánovaného","plánovaný","53","O","","","","","","Gen","","Pos","","Neut","","","","","","","Sing","","","Pos","","","","","","","Part","Pass","","","","","","","","","",""
"1","na","na","54","B-T","Complex time expressions","","Prep","","","Acc","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","","","",""
"1","srpen","srpen","55","I-T","Complex time expressions","","","Inan","","Acc","","","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","","","Yes","","",""
"1","1958","1958","56","O","","","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","No"
"1","#","&cyear;","57","O","","","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","",""
"1","Naleziště","naleziště","1","O","","","","","","Nom","","","","Neut","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","",""
"1","je","být","2","B-nc","Cardinal number","","","","Imp","","","","","","","","Ind","","","","Sing","","3","Pos","","","","","Pres","","Fin","Act","","","","","","","","","",""
"1","asi","asi","3","B-oe","Measure unit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","1","1","4","O","","","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","",""
"1","km","kilometr","5","O","","Yes","","Inan","","","","","","Masc","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","vých","vý","6","O","","Yes","","","","","","Pos","","","","","","","","","","","","Pos","","","","","","","","","","","","","","","","","","No"
"1",".",".","7","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","od","od","8","O","","","Prep","","","Gen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","obce","obec","9","O","","","","","","Gen","","","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","",""
"1","v","v","10","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","malé","malý","11","O","","","","","","Loc","","Pos","","Fem","","","","","","","Sing","","","Pos","","","","","","","","","","","","","","","","","",""
"1","pískovně","pískovna","12","O","","","","","","Loc","","","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","No"
"1",",",",","13","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","kde","kde","14","O","","","","","","","","","","","","","","","","","","","","","","","Int,Rel","","","","","","","","","","","","","","",""
"1","místní","místní","15","O","","","","Anim","","Nom","","Pos","","Masc","","","","","","","Plur","","","Pos","","","","","","","","","","","","","","","","","",""
"1","občané","občan","16","O","","","","Anim","","Nom","","","","Masc","","","","","","","Plur","","","","","","","","","","","","","","","","","","","","",""
"1","těží","těžit","17","O","","","","","Imp","","","","","","","","Ind","","","","Plur","","3","Pos","","","","","Pres","","Fin","Act","","","","","","","","","",""
"1","dle","dle","18","O","","","Prep","","","Gen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","potřeby","potřeba","19","O","","","","","","Gen","","","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","",""
"1","písek","písek","20","O","","","","Inan","","Acc","","","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","21","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Přilehlé","přilehlý","1","O","","","","","","Nom","","Pos","","Neut","","","","","","","Sing","","","Pos","","","","","","","","","","","","","","","","","",""
"1","pole","pole","2","O","","","","","","Nom","","","","Neut","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","",""
"1","je","být","3","O","","","","","Imp","","","","","","","","Ind","","","","Sing","","3","Pos","","","","","Pres","","Fin","Act","","","","","","","","","",""
"1","oseto","osetý","4","O","","","","","Perf","","","Pos","","Neut","","","","","","","Sing","","","Pos","","","","","","Short","Part","Pass","","","","","","","","","",""
"1","vojtěškou","vojtěška","5","O","","","","","","Ins","","","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","6","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Majitel","majitel","1","O","","","","Anim","","Nom","","","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","",""
"1","obou","oba","2","O","","","","","","Gen","","","","","","","","","Word","Card","Plur","","","","","","","","","","","","","","","","","","","","",""
"1","pozemků","pozemek","3","O","","","","Inan","","Gen","","","","Masc","","","","","","","Plur","","","","","","","","","","","","","","","","","","","","",""
"1","neměl","mít","4","O","","","","","Imp","","","","","Masc","","","","","","","Sing","","","Neg","","","","","Past","","Part","Act","","","","","","","","","",""
"1","námitek","námitka","5","O","","","","","","Gen","","","","Fem","","","","","","","Plur","","","","","","","","","","","","","","","","","","","","",""
"1","proti","proti","6","O","","","Prep","","","Dat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","provedení","provedení","7","O","","","","","","Dat","","","","Neut","","","","","","","Sing","","","","","","","","","","Vnoun","","","","","","","","","","",""
"1","výzkumu","výzkum","8","O","","","","Inan","","Gen","","","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","9","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","V","v","1","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","těchto","tento","2","O","","","","","","Loc","","","","","","","","","","","Plur","","","","","","Dem","","","","","","","","","","","","","","",""
"1","místech","místo","3","O","","","","","","Loc","","","","Neut","","","","","","","Plur","","","","","","","","","","","","","","","","","","","","",""
"1","byl","být","4","O","","","","","Imp","","","","","Masc","","","","","","","Sing","","","Pos","","","","","Past","","Part","Act","","","","","","","","","",""
"1","koncem","konec","5","O","","","","Inan","","Ins","","","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","",""
"1","r","rok","6","B-ty","Year","Yes","","Inan","","","","","","Masc","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","7","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","1954","1954","8","B-nc","Cardinal number","","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","",""
"1","rozrušen","rozrušený","9","O","","","","","Perf","","","Pos","","Masc","","","","","","","Sing","","","Pos","","","","","","Short","Part","Pass","","","","","","","","","",""
"1","1","1","10","O","","","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","",""
"1","žárový","žárový","11","O","","","","Inan","","Nom","","Pos","","Masc","","","","","","","Sing","","","Pos","","","","","","","","","","","","","","","","","",""
"1","hrob","hrob","12","O","","","","Inan","","Nom","","","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","No"
"1",",",",","13","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","obložený","obložený","14","O","","","","Inan","","Nom","","Pos","","Masc","","","","","","","Sing","","","Pos","","","","","","","Part","Pass","","","","","","","","","",""
"1","opukovými","opukový","15","O","","","","","","Ins","","Pos","","Fem","","","","","","","Plur","","","Pos","","","","","","","","","","","","","","","","","",""
"1","deskami","deska","16","O","","","","","","Ins","","","","Fem","","","","","","","Plur","","","","","","","","","","","","","","","","","","","","",""
"1","a","a","17","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","s","s","18","O","","","Prep","","","Ins","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","keramikou","keramika","19","O","","","","","","Ins","","","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","",""
"1","s","s","20","O","","","Prep","","","Ins","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","hladce","hladce","21","O","","","","","","","","Pos","","","","","","","","","","","","Pos","","","","","","","","","","","","","","","","","",""
"1","vymezenými","vymezený","22","O","","","","","","Ins","","Pos","","Fem","","","","","","","Plur","","","Pos","","","","","","","Part","Pass","","","","","","","","","",""
"1","prsovitý","prsovitý","23","O","","","","","","Ins","","Pos","","Fem","","","","","","","Plur","","","Pos","","","","","","","","","","","","","","","","","","No"
"1","-","-","24","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","mi","já","25","O","","","","","","Dat","","","","","","","","","","","Sing","","1","","","","Prs","","","Short","","","","","","","","","","","",""
"1","vypnulinami","vypnulina","26","O","","","","","","Ins","","","","Fem","","","","","","","Plur","","","","","","","","","","","","","","","","","","","","",""
"1","(","(","27","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","převzal","převzít","28","O","","","","","Perf","","","","","Masc","","","","","","","Sing","","","Pos","","","","","Past","","Part","Act","","","","","","","","","",""
"1","tehdy","tehdy","29","O","","","","","","","","","","","","","","","","","","","","","","","Dem","","","","","","","","","","","","","","",""
"1","referent","referent","30","O","","","","Anim","","Nom","","","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","",""
"1","v","v","31","B-io","Organization/Society","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","zastoupení","zastoupení","32","I-io","Organization/Society","","","","","Loc","","","","Neut","","","","","","","Sing","","","","","","","","","","Vnoun","","","Yes","","","","","","","",""
"1","KM","KM","33","O","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Teplice","Teplice","34","O","","","","","","Nom","","","","Fem","","","","Geo","","","Plur","","","","","","","","","","","","","","","","","","","","","No"
"1",")",")","35","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","36","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","V","v","1","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","r","rok","2","B-ty","Year","Yes","","Inan","","","","","","Masc","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","3","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","1955","1955","4","O","","","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","",""
"1","získalo","získat","5","O","","","","","Perf","","","","","Neut","","","","","","","Sing","","","Pos","","","","","Past","","Part","Act","","","","","","","","","",""
"1","odtud","odtud","6","O","","","","","","","","","","","","","","","","","","","","","","","Dem","","","","","","","","","","","","","","",""
"1","museum","museum","7","B-gu","Settlement name (City/Town)","","","","","Nom","","","","Neut","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","",""
"1","v","v","8","I-gu","Settlement name (City/Town)","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Budyni","Budyň","9","I-gu","Settlement name (City/Town)","","","","","Loc","","","","Fem","","","","Geo","","","Sing","","","","","","","","","","","","","","","","","","","","",""
"1","n.Oh","N.oh","10","O","","","","","","","","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","ří","Ře","11","O","","","","","","Ins","","","","Fem","","","","Geo","","","Sing","","","","","","","","","","","","","","","","","","","","",""
"1","další","další","12","O","","","","Inan","","Acc","","Pos","","Masc","","","","","","","Sing","","","Pos","","","","","","","","","","","","","","","","","",""
"1","rozrušený","rozrušený","13","O","","","","Inan","","Acc","","Pos","","Masc","","","","","","","Sing","","","Pos","","","","","","","Part","Pass","","","","","","","","","",""
"1","hrob","hrob","14","O","","","","Inan","","Acc","","","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","",""
"1","(","(","15","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","velký","velký","16","O","","","","Inan","","Acc","","Pos","","Masc","","","","","","","Sing","","","Pos","","","","","","","","","","","","","","","","","",""
"1","okřín","okřín","17","O","","","","Inan","","Acc","","","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","",""
"1","a","a","18","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","zlomky","zlomek","19","O","","","","Inan","","Acc","","","","Masc","","","","","","","Plur","","","","","","","","","","","","","","","","","","","","",""
"1","dalších","další","20","B-nc","Cardinal number","","","","","Gen","","Pos","","Fem","","","","","","","Plur","","","Pos","","","","","","","","","","","","","","","","","",""
"1","asi","asi","21","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","5","5","22","O","","","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","",""
"1","nádob","nádoba","23","O","","","","","","Gen","","","","Fem","","","","","","","Plur","","","","","","","","","","","","","","","","","","","","","No"
"1",";",";","24","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","další","další","25","O","","","","Inan","","Nom","","Pos","","Masc","","","","","","","Sing","","","Pos","","","","","","","","","","","","","","","","","",""
"1","nález","nález","26","O","","","","Inan","","Nom","","","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","No"
"1",",",",","27","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","okolnosti","okolnost","28","O","","","","","","Nom","","","","Fem","","","","","","","Plur","","","","","","","","","","","","","","","","","","","","",""
"1","neznámy","známý","29","O","","","","","","Nom","","Pos","","Fem","","","","","","","Plur","","","Neg","","","","","","","","","","","","","","","","","","No"
"1",")",")","30","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","31","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Při","při","1","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","své","svůj","2","O","","","","","","Loc","","","","Fem","","","","","","","Sing","","","","Yes","","Prs","Yes","","","","","","","","","","","","","",""
"1","poslední","poslední","3","B-T","Complex time expressions","","","","","Loc","","Pos","","Fem","","","","","","","Sing","","","Pos","","","","","","","","","","","","","Yes","","","","",""
"1","návštěvě","návštěva","4","I-T","Complex time expressions","","","","","Loc","","","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","Yes",""
"1","26.IX","26.ix","5","O","","","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","6","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","jsem","být","7","O","","","","","Imp","","","","","","","","Ind","","","","Sing","","1","Pos","","","","","Pres","","Fin","Act","","","","","","","","","",""
"1","zjistil","zjistit","8","O","","","","","Perf","","","","","Masc","","","","","","","Sing","","","Pos","","","","","Past","","Part","Act","","","","","","","","","","No"
"1",",",",","9","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","že","že","10","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","těžební","těžební","11","O","","","","","","Nom","","Pos","","Fem","","","","","","","Sing","","","Pos","","","","","","","","","","","","","","","","","",""
"1","plocha","plocha","12","O","","","","","","Nom","","","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","",""
"1","se","se","13","O","","","","","","Acc","","","","","","","","","","","","","","","","","Prs","Yes","","Short","","","","","","","","","","","",""
"1","proti","proti","14","B-ty","Year","","Prep","","","Dat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","roku","rok","15","O","","","","Inan","","Dat","","","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","",""
"1","1955","1955","16","O","","","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","",""
"1","zvětšila","zvětšit","17","B-nc","Cardinal number","","","","Perf","","","","","Fem,Neut","","","","","","","Plur,Sing","","","Pos","","","","","Past","","Part","Act","","","","","","","","","",""
"1","cca","cirka","18","O","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","5","5","19","O","","","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","",""
"1","krát","krát","20","O","","","","","","","Oper","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","21","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Odkryvem","odkryv","1","O","","","","Inan","","Ins","","","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","",""
"1","byl","být","2","O","","","","","Imp","","","","","Masc","","","","","","","Sing","","","Pos","","","","","Past","","Part","Act","","","","","","","","","",""
"1","rozrušen","rozrušený","3","O","","","","","Perf","","","Pos","","Masc","","","","","","","Sing","","","Pos","","","","","","Short","Part","Pass","","","","","","","","","",""
"1","další","další","4","O","","","","Inan","","Nom","","Pos","","Masc","","","","","","","Sing","","","Pos","","","","","","","","","","","","","","","","","","No"
"1",",",",","5","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","v","v","6","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","pořadí","pořadí","7","O","","","","","","Loc","","","","Neut","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","",""
"1","již","již","8","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
