"page_id","token","lemma","position","nameTag","NE","udpipe.feats.Abbr","udpipe.feats.AdpType","udpipe.feats.Animacy","udpipe.feats.Aspect","udpipe.feats.Case","udpipe.feats.Degree","udpipe.feats.Foreign","udpipe.feats.Gender","udpipe.feats.Gender[psor]","udpipe.feats.Hyph","udpipe.feats.Mood","udpipe.feats.NameType","udpipe.feats.NumForm","udpipe.feats.NumType","udpipe.feats.Number","udpipe.feats.Person","udpipe.feats.Polarity","udpipe.feats.Poss","udpipe.feats.Tense","udpipe.feats.Variant","udpipe.feats.VerbForm","udpipe.feats.Voice","udpipe.misc.B-P","udpipe.misc.B-ah","udpipe.misc.B-az","udpipe.misc.B-gr","udpipe.misc.B-gs","udpipe.misc.B-gu","udpipe.misc.B-pf","udpipe.misc.B-ps","udpipe.misc.B-td","udpipe.misc.B-tm","udpipe.misc.B-ty","udpipe.misc.I-P","udpipe.misc.I-az","udpipe.misc.I-gr","udpipe.misc.I-ps","udpipe.misc.I-td","udpipe.misc.I-tm","udpipe.misc.SpaceAfter"
"1","údaje","údaj","2","O","","","","Inan","","Nom","","","Masc","","","","","","","Plur","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",":",":","3","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Katastrální","katastrální","4","O","","","","","","Nom","Pos","","Neut","","","","","","","Sing","","Pos","","","","","","","","","","","","","","","","","","","","","","",""
"1","území","území","5","O","","","","","","Nom","","","Neut","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",":",":","6","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Bítov","Bítov","7","B-gu","Settlement name (City/Town)","","","Inan","","Nom","","","Masc","","","","Geo","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","u","u","8","O","","","Prep","","","Gen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Koněprus","Koněprusy","9","B-gu","Settlement name (City/Town)","","","Inan","","Gen","","","Masc","","","","Geo","","","Plur","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Lokalita","lokalita","10","O","","","","","","Nom","","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",":",":","11","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Parcelní","parcelní","12","O","","","","","","Nom","Pos","","Neut","","","","","","","Sing","","Pos","","","","","","","","","","","","","","","","","","","","","","",""
"1","čislo","čislo","13","O","","","","","","Nom","","","Neut","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",":",":","14","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","18","18","15","B-n_","Number expression (General)","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Okres","okres","16","O","","","","Inan","","Nom","","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Beroun","Beroun","17","B-gu","Settlement name (City/Town)","","","Inan","","Nom","","","Masc","","","","Geo","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Lokalizace","lokalizace","18","O","","","","","","Nom","","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","v","v","19","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","mapě","mapa","20","O","","","","","","Loc","","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","1","1","21","B-n_","Number expression (General)","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",":",":","22","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","10","10","23","B-n_","Number expression (General)","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","000","000","24","B-n_","Number expression (General)","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",":",":","25","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Mapový","mapový","26","O","","","","Inan","","Nom","Pos","","Masc","","","","","","","Sing","","Pos","","","","","","","","","","","","","","","","","","","","","","",""
"1","list","list","27","O","","","","Inan","","Nom","","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","12","12","28","B-n_","Number expression (General)","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","-","-","29","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","41","41","30","B-n_","Number expression (General)","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","-","-","31","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","17","17","32","B-n_","Number expression (General)","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","okolo","okolo","33","O","","","Prep","","","Gen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","bodu","bod","34","O","","","","Inan","","Gen","","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","68","68","35","B-n_","Number expression (General)","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","/","/","36","I-n_","Number expression (General)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","217","217","37","I-n_","Number expression (General)","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","mm","milimetr","38","B-oe","Measure unit","Yes","","Inan","","","","","Masc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","od","od","39","O","","","Prep","","","Gen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Z","Z","40","B-g_","Geographical name (General)","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","a","a","41","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","J","J","42","B-g_","Geographical name (General)","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","sekční","sekční","43","O","","","","","","Gen","Pos","","Fem","","","","","","","Sing","","Pos","","","","","","","","","","","","","","","","","","","","","","",""
"1","čáry","čára","44","O","","","","","","Gen","","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Název","název","45","O","","","","Inan","","Nom","","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","a","a","46","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","druh","druh","47","O","","","","Inan","","Nom","","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","akce","akce","48","O","","","","","","Gen","","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",":",":","49","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Stavba","stavba","50","O","","","","","","Nom","","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","elektrické","elektrický","51","O","","","","","","Gen","Pos","","Fem","","","","","","","Sing","","Pos","","","","","","","","","","","","","","","","","","","","","","",""
"1","přípojky","přípojka","52","O","","","","","","Gen","","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","k","k","53","O","","","Prep","","","Dat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","RD","RD","54","O","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","čp","čp","55","O","","Yes","","","","","","","Neut","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","56","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","10","10","57","B-n_","Number expression (General)","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Investor","investor","58","O","","","","Anim","","Nom","","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",":",":","59","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Václav","Václav","60","B-A","Complex Address/Number/Time","","","Anim","","Nom","","","Masc","","","","Giv","","","Sing","","","","","","","","Yes","","","","","","Yes","","","","","","","","","","",""
"1","Kubík","Kubík","61","I-A","Complex Address/Number/Time","","","Anim","","Nom","","","Masc","","","","Giv","","","Sing","","","","","","","","","","","","","","","Yes","","","","Yes","","","","","","No"
"1",",",",","62","I-A","Complex Address/Number/Time","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Tyršova","Tyršův","63","I-A","Complex Address/Number/Time","","","","","Nom","","","Fem","Masc","","","Giv","","","Sing","","","Yes","","","","","","","","","Yes","","","","","","","","","","","","",""
"1","75","75","64","I-A","Complex Address/Number/Time","","","","","","","","","","","","","Digit","Card","","","","","","","","","","Yes","","","","","","","","","","","","","","","","No"
"1",",",",","65","I-A","Complex Address/Number/Time","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","266","266","66","I-A","Complex Address/Number/Time","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","Yes","","","","","","","","","","","","","","",""
"1","01","01","67","I-A","Complex Address/Number/Time","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","Yes","","","","",""
"1","Beroun","Beroun","68","I-A","Complex Address/Number/Time","","","Inan","","Nom","","","Masc","","","","Geo","","","Sing","","","","","","","","","","","","","Yes","","","","","","","","","","","",""
"1","Základní","základní","69","O","","","","","","Nom","Pos","","Fem","","","","","","","Sing","","Pos","","","","","","","","","","","","","","","","","","","","","","",""
"1","metoda","metoda","70","O","","","","","","Nom","","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","archeologického","archeologický","71","O","","","","Inan","","Gen","Pos","","Masc","","","","","","","Sing","","Pos","","","","","","","","","","","","","","","","","","","","","","",""
"1","výzkumu","výzkum","72","O","","","","Inan","","Gen","","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",",",",","73","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","dohled","dohled","74","O","","","","Inan","","Nom","","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Doba","doba","75","O","","","","","","Nom","","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","výzkumu","výzkum","76","O","","","","Inan","","Gen","","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",":",":","77","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","únor","únor","78","B-T","Complex time expressions","","","Inan","","Nom","","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","","Yes","","","","","","","",""
"1","2005","2005","79","I-T","Complex time expressions","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","Yes","","","","","","",""
"1","Okolnosti","okolnost","80","O","","","","","","Nom","","","Fem","","","","","","","Plur","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","a","a","81","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","cil","cil","82","O","","","","","","","Pos","","","","Yes","","","","","","","Pos","","","","","","","","","","","","","","","","","","","","","","",""
"1","\","\","83","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","ýzkumu","ýzkum","84","O","","","","Inan","","Gen","","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",":",":","85","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Byla","být","86","O","","","","","Imp","","","","Fem,Neut","","","","","","","Plur,Sing","","Pos","","Past","","Part","Act","","","","","","","","","","","","","","","","","",""
"1","provedena","provedený","87","O","","","","","Perf","","Pos","","Fem,Neut","","","","","","","Plur,Sing","","Pos","","","Short","Part","Pass","","","","","","","","","","","","","","","","","",""
"1","kontrola","kontrola","88","O","","","","","","Nom","","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","odkrytých","odkrytý","89","O","","","","Inan","","Gen","Pos","","Masc","","","","","","","Plur","","Pos","","","","Part","Pass","","","","","","","","","","","","","","","","","",""
"1","výkopů","výkop","90","O","","","","Inan","","Gen","","","Masc","","","","","","","Plur","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","91","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Zaměřeni","zaměřený","1","O","","","","Anim","Perf","","Pos","","Masc","","","","","","","Plur","","Pos","","","Short","Part","Pass","","","","","","","","","","","","","","","","","","No"
"1",":",":","2","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Zaměřeni","zaměřený","3","O","","","","Anim","Perf","","Pos","","Masc","","","","","","","Plur","","Pos","","","Short","Part","Pass","","","","","","","","","","","","","","","","","",""
"1","bylo","být","4","O","","","","","Imp","","","","Neut","","","","","","","Sing","","Pos","","Past","","Part","Act","","","","","","","","","","","","","","","","","",""
"1","provedeno","provedený","5","O","","","","","Perf","","Pos","","Neut","","","","","","","Sing","","Pos","","","Short","Part","Pass","","","","","","","","","","","","","","","","","",""
"1","do","do","6","O","","","Prep","","","Gen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","základní","základní","7","O","","","","","","Gen","Pos","","Fem","","","","","","","Sing","","Pos","","","","","","","","","","","","","","","","","","","","","","",""
"1","mapy","mapa","8","O","","","","","","Gen","","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","1","1","9","O","","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",":",":","10","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","10","10","11","O","","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","000","000","12","O","","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","13","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Popis","popis","1","O","","","","Inan","","Nom","","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","terénni","terénni","2","O","","","","","","","Pos","","","","","","","","","","","Pos","","","","","","","","","","","","","","","","","","","","","","",""
"1","situace","situace","3","O","","","","","","Gen","","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",":",":","4","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Ve","v","5","O","","","Voc","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","výkopu","výkop","6","O","","","","Inan","","Loc","","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","byly","být","7","O","","","","Inan","Imp","","","","Fem,Masc","","","","","","","Plur","","Pos","","Past","","Part","Act","","","","","","","","","","","","","","","","","",""
"1","zjištěny","zjištěný","8","O","","","","Inan","Perf","","Pos","","Fem,Masc","","","","","","","Plur","","Pos","","","Short","Part","Pass","","","","","","","","","","","","","","","","","",""
"1","pouze","pouze","9","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","geologické","geologický","10","O","","","","","","Nom","Pos","","Fem","","","","","","","Plur","","Pos","","","","","","","","","","","","","","","","","","","","","","",""
"1","situace","situace","11","O","","","","","","Nom","","","Fem","","","","","","","Plur","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Zhodnoceni","zhodnocený","12","O","","","","Anim","Perf","","Pos","","Masc","","","","","","","Plur","","Pos","","","Short","Part","Pass","","","","","","","","","","","","","","","","","","No"
"1",":",":","13","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Nebyly","být","14","O","","","","Inan","Imp","","","","Fem,Masc","","","","","","","Plur","","Neg","","Past","","Part","Act","","","","","","","","","","","","","","","","","",""
"1","porušeny","porušený","15","O","","","","Inan","Perf","","Pos","","Fem,Masc","","","","","","","Plur","","Pos","","","Short","Part","Pass","","","","","","","","","","","","","","","","","",""
"1","archeologické","archeologický","16","O","","","","","","Nom","Pos","","Fem","","","","","","","Plur","","Pos","","","","","","","","","","","","","","","","","","","","","","",""
"1","situace","situace","17","O","","","","","","Nom","","","Fem","","","","","","","Plur","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","18","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","V","v","1","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Kladně","Kladno","2","B-gu","Settlement name (City/Town)","","","","","Loc","","","Neut","","","","Geo","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","30","30","3","B-T","Complex time expressions","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","Yes","","","","","","","","","No"
"1",".",".","4","I-T","Complex time expressions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","",""
"1","12","12","5","I-T","Complex time expressions","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","Yes","","","","","","","","No"
"1",".",".","6","I-T","Complex time expressions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes",""
"1","2005","2005","7","I-T","Complex time expressions","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","Yes","","","","","","",""
"1","Mgr","Mgr","8","B-pd","Academic titles","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","9","I-pd","Academic titles","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Daniel","Daniel","1","B-P","Complex personal names","","","Anim","","Nom","","","Masc","","","","Giv","","","Sing","","","","","","","","","","","","","","Yes","","","","","","","","","","",""
"1","Stolz","Stolz","2","I-P","Complex personal names","","","Anim","","Nom","","","Masc","","","","Giv","","","Sing","","","","","","","","","","","","","","","Yes","","","","","","","","","",""
"1","ÚSTAV","ústav","3","B-ic","Cult/Educational institution","","","Inan","","Nom","","","Masc","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","ARCHEOLOGICKÉ","archeologický","4","I-ic","Cult/Educational institution","","","","","Gen","Pos","","Fem","","","","","","","Sing","","Pos","","","","","","","","","","","","","","","","","","","","","","",""
"1","PAMÁTKOVÉ","památkový","5","I-ic","Cult/Educational institution","","","","","Gen","Pos","","Fem","","","","","","","Sing","","Pos","","","","","","","","","","","","","","","","","","","","","","",""
"1","PÉČE","péče","6","I-ic","Cult/Educational institution","","","","","Gen","","","Fem","","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","STŘEDNÍCH","střední","7","I-ic","Cult/Educational institution","","","","","Gen","Pos","","Fem","","","","","","","Plur","","Pos","","","","","","","","","Yes","","","","","","","","","","","","","",""
"1","ČECH","Čechy","8","I-ic","Cult/Educational institution","","","","","Gen","","","Fem","","","","Geo","","","Plur","","","","","","","","","","","","","","","","","","","","","Yes","","","",""
