"page_id","token","lemma","position","nameTag","NE","udpipe.feats.Abbr","udpipe.feats.AdpType","udpipe.feats.Animacy","udpipe.feats.Aspect","udpipe.feats.Case","udpipe.feats.Degree","udpipe.feats.Foreign","udpipe.feats.Gender","udpipe.feats.Gender[psor]","udpipe.feats.Mood","udpipe.feats.NameType","udpipe.feats.NumForm","udpipe.feats.NumType","udpipe.feats.Number","udpipe.feats.Person","udpipe.feats.Polarity","udpipe.feats.Poss","udpipe.feats.PrepCase","udpipe.feats.PronType","udpipe.feats.Reflex","udpipe.feats.Tense","udpipe.feats.Variant","udpipe.feats.VerbForm","udpipe.feats.Voice","udpipe.misc.B-T","udpipe.misc.B-gu","udpipe.misc.B-mn","udpipe.misc.B-oa","udpipe.misc.B-pf","udpipe.misc.B-pm","udpipe.misc.B-ps","udpipe.misc.B-td","udpipe.misc.B-tm","udpipe.misc.B-ty","udpipe.misc.I-T","udpipe.misc.I-oa","udpipe.misc.I-pf","udpipe.misc.I-pm","udpipe.misc.I-td","udpipe.misc.SpaceAfter"
"1","60","60","16","O","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Ex","Ex","17","O","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",",",",","18","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","19","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Č","Č","20","O","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","21","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","poř","poř","22","O","","Yes","","","","","","","Neut","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","23","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","ČÍSLO","číslo","24","O","","","","","","Nom","","","Neut","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","PARCELY","parcela","25","O","","","","","","Gen","","","Fem","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","NÁZEV","název","26","O","","","","Inan","","Nom","","","Masc","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","TRATI","trať","27","O","","","","","","Gen","","","Fem","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","PřUohy","Přuohy","1","O","","","","Anim","","Nom","","","Masc","","","Giv","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","-","-","2","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","M","M","3","O","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","'","'","4","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Potenštejn","Potenštejn","5","B-gu","Settlement name (City/Town)","","","Anim","","Nom","","","Masc","","","Giv","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Kultura","kultura","6","O","","","","","","Nom","","","Fem","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","středověk","středověk","7","O","","","","Inan","","Nom","","","Masc","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","ČÍSLO","číslo","8","O","","","","","","Nom","","","Neut","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","MAPY","mapa","9","O","","","","","","Gen","","","Fem","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","kooa","kooa","10","O","","","","","","","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","s«","s«","11","O","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","7","7","12","B-n_","Number expression (General)","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","•","•","13","O","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","/","/","14","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Druh","druh","15","O","","","","Inan","","Nom","","","Masc","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","nálezu","nález","16","O","","","","Inan","","Gen","","","Masc","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","keramika","keramika","17","O","","","","","","Nom","","","Fem","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","a","a","18","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","kosti","kost","19","O","","","","","","Nom","","","Fem","","","","","","Plur","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Literatura","literatura","20","O","","","","","","Nom","","","Fem","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","A","A","21","B-P","Complex personal names","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","","","","","","","","","","","No"
"1",".",".","22","I-P","Complex personal names","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","","",""
"1","Sedláček","Sedláček","23","I-P","Complex personal names","","","Anim","","Nom","","","Masc","","","Giv","","","Sing","","","","","","","","","","","","","","","","","Yes","","","","","","","","","No"
"1",",",",","24","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","lístopisný","lístopisný","25","O","","","","Inan","","Nom","Pos","","Masc","","","","","","Sing","","Pos","","","","","","","","","","","","","","","","","","","","","","","",""
"1","slovnik","slovnik","26","O","","","","Inan","","Nom","","","Masc","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","historický","historický","27","O","","","","Inan","","Nom","Pos","","Masc","","","","","","Sing","","Pos","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",",",",","28","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","str","strana","29","O","","Yes","","","","","","","Fem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","30","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","721","721","31","B-nb","Volu-metric number","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","32","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","•","•","33","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Uložení","uložení","1","O","","","","","","Nom","","","Neut","","","","","","Sing","","","","","","","","","Vnoun","","","","","","","","","","","","","","","","",""
"1","OS","OS","2","O","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Blovi","Blovi","3","O","","","","","","","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","ca","ca","4","O","","","","","","","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","čís","čís","5","O","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","6","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","inv","inv","7","O","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","8","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","t","t","9","O","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Dno","dno","10","O","","","","","","Nom","","","Neut","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","20","20","11","B-T","Complex time expressions","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","Yes","","","","","","","","No"
"1",".",".","12","I-T","Complex time expressions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes",""
"1","dubna","duben","13","I-T","Complex time expressions","","","Inan","","Gen","","","Masc","","","","","","Sing","","","","","","","","","","","","","","","","","","","Yes","","","","","","",""
"1","l","litr","14","I-T","Complex time expressions","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","","","","","","No"
"1","%","%","15","I-T","Complex time expressions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","","","","","","","No"
"1","0","0","16","I-T","Complex time expressions","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","Yes","","","","","",""
"1","jsem","být","17","O","","","","","Imp","","","","","","Ind","","","","Sing","1","Pos","","","","","Pres","","Fin","Act","","","","","","","","","","","","","","","",""
"1","na","na","18","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","výsva","výsva","19","O","","","","","","Nom","","","Fem","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","správee","správee","20","O","","","","","","Gen","","","Fem","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","6","6","21","B-nc","Cardinal number","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","kresního","kresní","22","O","","","","","","Gen","Pos","","Neut","","","","","","Sing","","Pos","","","","","","","","","","","","","","","","","","","","","","","",""
"1","muzea","muzeum","23","O","","","","","","Gen","","","Neut","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","v","v","24","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Blovi","Bla","25","B-gu","Settlement name (City/Town)","","","Inan","","Loc","","","Masc","","","Geo","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","-","-","26","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","eích","eíec","27","O","","","","Inan","","Loc","","","Masc","","","","","","Plur","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","o","o","28","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","ním","on","29","O","","","","","","Loc","","","Masc,Neut","","","","","","Sing","3","","","Pre","Prs","","","","","","","","","","","","","","","","","","","","",""
"1","prohlódla","prohlódnout","30","O","","","","","Perf","","","","Fem,Neut","","","","","","Plur,Sing","","Pos","","","","","Past","","Part","Act","","","","","","","","","","","","","","","",""
"1","zříceninu","zřícenina","31","O","","","","","","Acc","","","Fem","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","hrd","hrda","32","O","","","","","","Gen","","","Fem","","","","","","Plur","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","""","""","33","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","ku","k","34","O","","","Voc","","","Dat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Poten","Poten","35","O","","","","","","","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","3","3","36","O","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","te","te","37","O","","","","","","","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","jna","jna","38","O","","","","","","","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",",",",","39","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","k","k","40","O","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","41","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","o","o","42","O","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","43","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Žinkovy","Žinkovy","44","B-gu","Settlement name (City/Town)","","","Inan","","Nom","","","Masc","","","Geo","","","Plur","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","45","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Ze","z","1","O","","","Voc","","","Gen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","zřiceníny","zřicenín","2","O","","","","Inan","","Gen","","","Masc","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","""","""","3","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","je","být","4","O","","","","","Imp","","","","","","Ind","","","","Sing","3","Pos","","","","","Pres","","Fin","Act","","","","","","","","","","","","","","","",""
"1","odkryto","odkrytý","5","O","","","","","Perf","","Pos","","Neut","","","","","","Sing","","Pos","","","","","","Short","Part","Pass","","","","","","","","","","","","","","","",""
"1","adivo","adivo","6","O","","","","","","","Pos","","","","","","","","","","Pos","","","","","","","","","","","","","","","","","","","","","","","",""
"1","v","v","7","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Síří","Síře","8","B-gh","Hydronym (Bodies of water)","","","","","Loc","","","Neut","","","Geo","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","asi","asi","9","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","2","2","10","B-nc","Cardinal number","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","m","metr","11","B-oe","Measure unit","Yes","","Inan","","","","","Masc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","tvořící","tvořící","12","O","","","","Inan","Imp","Nom","","","Masc","","","","","","Sing","","Pos","","","","","Pres","","Part","Act","","","","","","","","","","","","","","","",""
"1","téměž","téměž","13","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","tverec","tverec","14","O","","","","Inan","","Acc","","","Masc","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","o","o","15","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","straně","strana","16","O","","","","","","Loc","","","Fem","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","40","40","17","B-nc","Cardinal number","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","-","-","18","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","50","50","19","B-nc","Cardinal number","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","m","metr","20","B-oe","Measure unit","Yes","","Inan","","","","","Masc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","s","s","21","O","","","Prep","","","Ins","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","vehodem","vehod","22","O","","","","Inan","","Ins","","","Masc","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","ve","v","23","O","","","Voc","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","výchoní","výchoní","24","O","","","","","","Loc","Pos","","Fem","","","","","","Sing","","Pos","","","","","","","","","","","","","","","","","","","","","","","",""
"1","stně","stna","25","O","","","","","","Loc","","","Fem","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","26","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","V","v","1","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","zemině","zemina","2","O","","","","","","Loc","","","Fem","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","ol","ol","3","O","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","hozené","hozený","4","O","","","","","","Loc","Pos","","Fem","","","","","","Sing","","Pos","","","","","","","Part","Pass","","","","","","","","","","","","","","","",""
"1","při","při","5","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","o","o","6","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","krývání","krývání","7","O","","","","","","Loc","","","Neut","","","","","","Sing","","","","","","","","","Vnoun","","","","","","","","","","","","","","","","",""
"1","alive","alive","8","O","","","","","","Gen","","","Fem","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","jsme","být","9","O","","","","","Imp","","","","","","Ind","","","","Plur","1","Pos","","","","","Pres","","Fin","Act","","","","","","","","","","","","","","","",""
"1","nalez","nalez","10","O","","","","","Perf","","","","","","Imp","","","","Sing","2","Pos","","","","","","","Fin","","","","","","","","","","","","","","","","","No"
"1","2","2","11","O","","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","í","í","12","O","","","","","","","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","ein","ein","13","O","","","","","","","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","slomkry","slomkry","14","O","","","","Inan","","Acc","","","Masc","","","","","","Plur","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","keramiky","keramika","15","O","","","","","","Gen","","","Fem","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","posdn","posdn","16","O","","","","","","Gen","","","Fem","","","","","","Plur","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","hradištní","hradištní","17","O","","","","","","Gen","Pos","","Fem","","","","","","Sing","","Pos","","","","","","","","","","","","","","","","","","","","","","","",""
"1","ho","on","18","O","","","","","","Acc","","","Masc,Neut","","","","","","Sing","3","","","","Prs","","","Short","","","","","","","","","","","","","","","","","",""
"1","a","a","19","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","atředověkého","atředověký","20","O","","","","Inan","","Gen","Pos","","Masc","","","","","","Sing","","Pos","","","","","","","","","","","","","","","","","","","","","","","",""
"1","charaktera","charakter","21","O","","","","Inan","","Gen","","","Masc","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","a","a","22","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","četné","četný","23","O","","","","","","Acc","Pos","","Fem","","","","","","Plur","","Pos","","","","","","","","","","","","","","","","","","","","","","","",""
"1","zvířeeí","zvířeeí","24","O","","","","","","Acc","Pos","","Fem","","","","","","Sing","","Pos","","","","","","","","","","","","","","","","","","","","","","","",""
"1","kost","kost","25","O","","","","","","Acc","","","Fem","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","1","1","26","B-no","Ordinal number","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","27","I-no","Ordinal number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","rádei","ráde","28","O","","","","Inan","","Gen","","","Masc","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","je","být","29","O","","","","","Imp","","","","","","Ind","","","","Sing","3","Pos","","","","","Pres","","Fin","Act","","","","","","","","","","","","","","","",""
"1",".",".","30","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","4","4","1","B-n_","Number expression (General)","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","umístn","umístný","2","O","","","","","Perf","","","","","","Imp","","","","Sing","2","Pos","","","","","","","Fin","","","","","","","","","","","","","","","","",""
"1","na","na","3","O","","","Prep","","","Acc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","ostrožnu","ostrožna","4","O","","","","","","Acc","","","Fem","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","5","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Která","který","1","O","","","","","","Nom","","","Fem","","","","","","Sing","","","","","Int,Rel","","","","","","","","","","","","","","","","","","","","",""
"1","vybíhá","vybíhat","2","O","","","","","Imp","","","","","","Ind","","","","Sing","3","Pos","","","","","Pres","","Fin","Act","","","","","","","","","","","","","","","",""
"1","smžrem","smžr","3","O","","","","Inan","","Ins","","","Masc","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","k","k","4","O","","","Prep","","","Dat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","západu","západ","5","O","","","","Inan","","Dat","","","Masc","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","o","o","6","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","epadá","epadat","7","O","","","","","Imp","","","","","","Ind","","","","Sing","3","Pos","","","","","Pres","","Fin","Act","","","","","","","","","","","","","","","",""
"1","ostře","ostře","8","O","","","","","","","Pos","","","","","","","","","","Pos","","","","","","","","","","","","","","","","","","","","","","","",""
"1","dolů","dolů","9","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","k","k","10","O","","","Prep","","","Dat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","dnešnímu","dnešní","11","O","","","","Inan","","Dat","Pos","","Masc","","","","","","Sing","","Pos","","","","","","","","","","","","","","","","","","","","","","","",""
"1","zámkcu","zámkek","12","O","","","","Inan","","Dat","","","Masc","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","13","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Od","od","1","O","","","Prep","","","Gen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","východu","východ","2","O","","","","Inan","","Gen","","","Masc","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","je","být","3","O","","","","","Imp","","","","","","Ind","","","","Sing","3","Pos","","","","","Pres","","Fin","Act","","","","","","","","","","","","","","","",""
"1","chránn","chránný","4","O","","","","","Imp","","Pos","","Masc","","","","","","Sing","","Pos","","","","","","Short","Part","Pass","","","","","","","","","","","","","","","",""
"1","mohutnýn","mohutnýn","5","O","","","","Inan","","Nom","","","Masc","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","příčným","příčný","6","O","","","","Inan","","Ins","Pos","","Masc","","","","","","Sing","","Pos","","","","","","","","","","","","","","","","","","","","","","","",""
"1","valen","valen","7","O","","","","Inan","","Nom","","","Masc","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","se","s","8","O","","","Voc","","","Ins","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","širokým","široký","9","O","","","","Inan","","Ins","Pos","","Masc","","","","","","Sing","","Pos","","","","","","","","","","","","","","","","","","","","","","","",""
"1","příkopem","příkop","10","O","","","","Inan","","Ins","","","Masc","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",";",";","11","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","popsaná","popsaný","1","O","","","","","","Nom","Pos","","Fem","","","","","","Sing","","Pos","","","","","","","Part","Pass","","","","","","","","","","","","","","","",""
"1","stavba","stavba","2","O","","","","","","Nom","","","Fem","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","není","být","3","O","","","","","Imp","","","","","","Ind","","","","Sing","3","Neg","","","","","Pres","","Fin","Act","","","","","","","","","","","","","","","",""
"1","na","na","4","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","nejvyšším","vysoký","5","O","","","","Inan","","Loc","Sup","","Masc","","","","","","Sing","","Pos","","","","","","","","","","","","","","","","","","","","","","","",""
"1","bode","bod","6","O","","","","Inan","","Loc","","","Masc","","","","","","Sing","","","","","","","","","","","","","","","","","","","","","","","","","",""
