"page_id","token","lemma","position","nameTag","NE","udpipe.feats.Abbr","udpipe.feats.AdpType","udpipe.feats.Animacy","udpipe.feats.Aspect","udpipe.feats.Case","udpipe.feats.Degree","udpipe.feats.Foreign","udpipe.feats.Gender","udpipe.feats.Mood","udpipe.feats.NameType","udpipe.feats.NumForm","udpipe.feats.NumType","udpipe.feats.Number","udpipe.feats.Person","udpipe.feats.Polarity","udpipe.feats.PronType","udpipe.feats.Tense","udpipe.feats.Variant","udpipe.feats.VerbForm","udpipe.feats.Voice","udpipe.misc.B-ah","udpipe.misc.B-az","udpipe.misc.B-gc","udpipe.misc.B-gs","udpipe.misc.B-gu","udpipe.misc.B-ic","udpipe.misc.B-pd","udpipe.misc.B-pf","udpipe.misc.B-ps","udpipe.misc.B-td","udpipe.misc.I-az","udpipe.misc.I-ic","udpipe.misc.I-pd","udpipe.misc.SpaceAfter"
"1","mail","mail","31","O","","","","Inan","","Nom","","","Masc","","","","","Sing","","","","","","","","","","","","","","","","","","","","","No"
"1",":",":","32","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","archeologiekh@seznam.cz","archeologiekh@seznam.cz","33","B-me","Email address","","","","","","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","V","v","34","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Kutné","Kutná","35","B-gu","Settlement name (City/Town)","","","","","Loc","","","Fem","","Geo","","","Sing","","","","","","","","","","","","","","","","","","","","",""
"1","Hoře","hora","36","I-gu","Settlement name (City/Town)","","","","","Loc","","","Fem","","","","","Sing","","","","","","","","","","","","","","","","","","","","",""
"1","1.7.2014","1.7.2014","37","B-T","Complex time expressions","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","Yes","","","",""
"1","Ing","Ing","38","I-T","Complex time expressions","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","","","","","","","No"
"1",".",".","39","I-T","Complex time expressions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes",""
"1","Jan","Jan","40","B-P","Complex personal names","","","Anim","","Nom","","","Masc","","Giv","","","Sing","","","","","","","","","","","","","","","Yes","","","","","",""
"1","Přibyl","Přibyl","41","I-P","Complex personal names","","","Anim","","Nom","","","Masc","","Giv","","","Sing","","","","","","","","","","","","","","","","Yes","","","","",""
"1","Mgr","Mgr","42","B-P","Complex personal names","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","Yes","","","","","","","No"
"1",".",".","43","I-P","Complex personal names","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yes",""
"1","Jana","Jana","44","I-P","Complex personal names","","","","","Nom","","","Fem","","Giv","","","Sing","","","","","","","","","","","","","","","Yes","","","","","",""
"1","Přibylová","Přibylová","45","I-P","Complex personal names","","","","","Nom","","","Fem","","Giv","","","Sing","","","","","","","","","","","","","","","","Yes","","","","",""
"1","Spodní","spodní","46","B-A","Complex Address/Number/Time","","","","","Nom","Pos","","Fem","","","","","Sing","","Pos","","","","","","","","","Yes","","","","","","","","","",""
"1","682","682","47","I-A","Complex Address/Number/Time","","","","","","","","","","","Digit","Card","","","","","","","","","Yes","","","","","","","","","","","","",""
"1","Spodní","spodní","48","I-A","Complex Address/Number/Time","","","","","Nom","Pos","","Fem","","","","","Sing","","Pos","","","","","","","","","","","","","","","","","","",""
"1","682","682","49","I-A","Complex Address/Number/Time","","","","","","","","","","","Digit","Card","","","","","","","","","","Yes","","","","","","","","","","","",""
"1","625","625","50","I-A","Complex Address/Number/Time","","","","","","","","","","","Digit","Card","","","","","","","","","","Yes","","","","","","","","","","","",""
"1","00","00","51","I-A","Complex Address/Number/Time","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","Yes","","",""
"1","Brno","Brno","52","I-A","Complex Address/Number/Time","","","","","Nom","","","Neut","","Geo","","","Sing","","","","","","","","","","","","Yes","","","","","","","","",""
"1","625","625","53","I-A","Complex Address/Number/Time","","","","","","","","","","","Digit","Card","","","","","","","","","","Yes","","","","","","","","","","","",""
"1","00","00","54","I-A","Complex Address/Number/Time","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","Yes","","",""
"1","Brno","Brno","55","I-A","Complex Address/Number/Time","","","","","Nom","","","Neut","","Geo","","","Sing","","","","","","","","","","","","Yes","","","","","","","","",""
"1","VĚC","věc","56","O","","","","","","Nom","","","Fem","","","","","Sing","","","","","","","","","","","","","","","","","","","","","No"
"1",":",":","57","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","zpráva","zpráva","58","O","","","","","","Nom","","","Fem","","","","","Sing","","","","","","","","","","","","","","","","","","","","",""
"1","o","o","59","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","provedení","provedení","60","O","","","","","","Loc","","","Neut","","","","","Sing","","","","","","Vnoun","","","","","","","","","","","","","","",""
"1","záchranného","záchranný","61","O","","","","Inan","","Gen","Pos","","Masc","","","","","Sing","","Pos","","","","","","","","","","","","","","","","","","",""
"1","archeologického","archeologický","62","O","","","","Inan","","Gen","Pos","","Masc","","","","","Sing","","Pos","","","","","","","","","","","","","","","","","","",""
"1","výzkumu","výzkum","63","O","","","","Inan","","Gen","","","Masc","","","","","Sing","","","","","","","","","","","","","","","","","","","","",""
"1","při","při","64","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","akci","akce","65","O","","","","","","Loc","","","Fem","","","","","Sing","","","","","","","","","","","","","","","","","","","","",""
"1","-","-","66","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Čáslav","Čáslav","67","B-gu","Settlement name (City/Town)","","","","","Nom","","","Fem","","Geo","","","Sing","","","","","","","","","","","","","","","","","","","","",""
"1","-","-","68","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","novostavba","novostavba","69","O","","","","","","Nom","","","Fem","","","","","Sing","","","","","","","","","","","","","","","","","","","","",""
"1","rodinného","rodinný","70","O","","","","Inan","","Gen","Pos","","Masc","","","","","Sing","","Pos","","","","","","","","","","","","","","","","","","",""
"1","domu","dům","71","O","","","","Inan","","Gen","","","Masc","","","","","Sing","","","","","","","","","","","","","","","","","","","","",""
"1","na","na","72","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","ppč","ppč","73","O","","Yes","","","","","","","Neut","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","74","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","1642","1642","75","B-n_","Number expression (General)","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","No"
"1","/","/","76","I-n_","Number expression (General)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","17","17","77","I-n_","Number expression (General)","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","No"
"1",",",",","78","I-n_","Number expression (General)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","18","18","79","I-n_","Number expression (General)","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","",""
"1","v","v","80","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","k","k","81","O","","Yes","","","","","Pos","","","","","","","","","Pos","","","","","","","","","","","","","","","","","","","No"
"1",".",".","82","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","ú","ú","83","O","","Yes","","Inan","","","","","Masc","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","84","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Čáslav","Čáslav","85","B-gu","Settlement name (City/Town)","","","","","Nom","","","Fem","","Geo","","","Sing","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","86","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","V","v","1","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","souladu","soulad","2","O","","","","Inan","","Loc","","","Masc","","","","","Sing","","","","","","","","","","","","","","","","","","","","",""
"1","se","s","3","O","","","Voc","","","Ins","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","zněním","znění","4","O","","","","","","Ins","","","Neut","","","","","Sing","","","","","","Vnoun","","","","","","","","","","","","","","",""
"1","zákona","zákon","5","O","","","","Inan","","Gen","","","Masc","","","","","Sing","","","","","","","","","","","","","","","","","","","","",""
"1","č","číslo","6","O","","Yes","","","","","","","Neut","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".20",".20","7","O","","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","No"
"1","/","/","8","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","87","87","9","B-ty","Year","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","",""
"1","Sb","sbírka","10","B-or","Directives, norms","Yes","","","","","","","Fem","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","11","I-or","Directives, norms","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","v","v","12","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","platném","platný","13","O","","","","","","Loc","Pos","","Neut","","","","","Sing","","Pos","","","","","","","","","","","","","","","","","","",""
"1","znění","znění","14","O","","","","","","Loc","","","Neut","","","","","Sing","","","","","","Vnoun","","","","","","","","","","","","","","",""
"1","byl","být","15","O","","","","","Imp","","","","Masc","","","","","Sing","","Pos","","Past","","Part","Act","","","","","","","","","","","","","",""
"1","na","na","16","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","základě","základ","17","O","","","","Inan","","Loc","","","Masc","","","","","Sing","","","","","","","","","","","","","","","","","","","","",""
"1","ohlášení","ohlášení","18","O","","","","","","Gen","","","Neut","","","","","Sing","","","","","","Vnoun","","","","","","","","","","","","","","",""
"1","zahájení","zahájení","19","O","","","","","","Gen","","","Neut","","","","","Sing","","","","","","Vnoun","","","","","","","","","","","","","","",""
"1","výkopových","výkopový","20","O","","","","","","Gen","Pos","","Fem","","","","","Plur","","Pos","","","","","","","","","","","","","","","","","","",""
"1","prací","práce","21","O","","","","","","Gen","","","Fem","","","","","Plur","","","","","","","","","","","","","","","","","","","","",""
"1","proveden","provedený","22","O","","","","","Perf","","Pos","","Masc","","","","","Sing","","Pos","","","Short","Part","Pass","","","","","","","","","","","","","",""
"1","archeologický","archeologický","23","O","","","","Inan","","Nom","Pos","","Masc","","","","","Sing","","Pos","","","","","","","","","","","","","","","","","","",""
"1","dohled","dohled","24","O","","","","Inan","","Nom","","","Masc","","","","","Sing","","","","","","","","","","","","","","","","","","","","",""
"1","při","při","25","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","akci","akce","26","O","","","","","","Loc","","","Fem","","","","","Sing","","","","","","","","","","","","","","","","","","","","","No"
"1",":",":","27","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Čáslav","Čáslav","28","B-gu","Settlement name (City/Town)","","","","","Nom","","","Fem","","Geo","","","Sing","","","","","","","","","","","","","","","","","","","","",""
"1","-","-","29","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","novostavba","novostavba","30","O","","","","","","Nom","","","Fem","","","","","Sing","","","","","","","","","","","","","","","","","","","","",""
"1","rodinného","rodinný","31","O","","","","Inan","","Gen","Pos","","Masc","","","","","Sing","","Pos","","","","","","","","","","","","","","","","","","",""
"1","domu","dům","32","O","","","","Inan","","Gen","","","Masc","","","","","Sing","","","","","","","","","","","","","","","","","","","","",""
"1","na","na","33","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","ppč","ppč","34","O","","Yes","","","","","","","Neut","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","35","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","1642","1642","36","B-n_","Number expression (General)","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","No"
"1","/","/","37","I-n_","Number expression (General)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","17","17","38","I-n_","Number expression (General)","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","","No"
"1",",",",","39","I-n_","Number expression (General)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","18","18","40","I-n_","Number expression (General)","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","","","","",""
"1","v","v","41","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","k","k","42","O","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","43","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","ú","ú","44","O","","Yes","","Inan","","","","","Masc","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","45","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Čáslav","Čáslav","46","B-gu","Settlement name (City/Town)","","","","","Nom","","","Fem","","Geo","","","Sing","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","47","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Akce","akce","1","O","","","","","","Nom","","","Fem","","","","","Sing","","","","","","","","","","","","","","","","","","","","",""
"1","probíhala","probíhat","2","O","","","","","Imp","","","","Fem,Neut","","","","","Plur,Sing","","Pos","","Past","","Part","Act","","","","","","","","","","","","","",""
"1","na","na","3","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","západním","západní","4","O","","","","Inan","","Loc","Pos","","Masc","","","","","Sing","","Pos","","","","","","","","","","","","","","","","","","",""
"1","okraji","okraj","5","O","","","","Inan","","Loc","","","Masc","","","","","Sing","","","","","","","","","","","","","","","","","","","","",""
"1","města","město","6","O","","","","","","Gen","","","Neut","","","","","Sing","","","","","","","","","","","","","","","","","","","","",""
"1","v","v","7","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","poloze","poloha","8","O","","","","","","Loc","","","Fem","","","","","Sing","","","","","","","","","","","","","","","","","","","","",""
"1","„","""","9","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","Vodranty“","Vodranty“","10","O","","","","","","","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","11","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","V","v","1","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","těsném","těsný","2","O","","","","","","Loc","Pos","","Neut","","","","","Sing","","Pos","","","","","","","","","","","","","","","","","","",""
"1","sousedství","sousedství","3","O","","","","","","Loc","","","Neut","","","","","Sing","","","","","","","","","","","","","","","","","","","","",""
"1","stavby","stavba","4","O","","","","","","Gen","","","Fem","","","","","Sing","","","","","","","","","","","","","","","","","","","","",""
"1","došlo","dojít","5","O","","","","","Perf","","","","Neut","","","","","Sing","","Pos","","Past","","Part","Act","","","","","","","","","","","","","",""
"1","v","v","6","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","minulosti","minulost","7","O","","","","","","Loc","","","Fem","","","","","Sing","","","","","","","","","","","","","","","","","","","","",""
"1","k","k","8","O","","","Prep","","","Dat","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","zachycení","zachycení","9","O","","","","","","Dat","","","Neut","","","","","Sing","","","","","","Vnoun","","","","","","","","","","","","","","",""
"1","polykulturního","polykulturní","10","O","","","","","","Gen","Pos","","Neut","","","","","Sing","","Pos","","","","","","","","","","","","","","","","","","",""
"1","pravěkého","pravěký","11","O","","","","","","Gen","Pos","","Neut","","","","","Sing","","Pos","","","","","","","","","","","","","","","","","","",""
"1","a","a","12","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","středověkého","středověký","13","O","","","","","","Gen","Pos","","Neut","","","","","Sing","","Pos","","","","","","","","","","","","","","","","","","",""
"1","osídlení","osídlení","14","O","","","","","","Gen","","","Neut","","","","","Sing","","","","","","Vnoun","","","","","","","","","","","","","","","No"
"1",",",",","15","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","proto","proto","16","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","nešlo","jít","17","O","","","","","Imp","","","","Neut","","","","","Sing","","Neg","","Past","","Part","Act","","","","","","","","","","","","","",""
"1","dopředu","dopředu","18","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","vyloučit","vyloučit","19","O","","","","","Perf","","","","","","","","","","","Pos","","","","Inf","","","","","","","","","","","","","","",""
"1","možnost","možnost","20","O","","","","","","Acc","","","Fem","","","","","Sing","","","","","","","","","","","","","","","","","","","","","No"
"1",",",",","21","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","že","že","22","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","v","v","23","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","průběhu","průběh","24","O","","","","Inan","","Loc","","","Masc","","","","","Sing","","","","","","","","","","","","","","","","","","","","",""
"1","akce","akce","25","O","","","","","","Gen","","","Fem","","","","","Sing","","","","","","","","","","","","","","","","","","","","",""
"1","dojde","dojít","26","O","","","","","Perf","","","","","Ind","","","","Sing","3","Pos","","Pres","","Fin","Act","","","","","","","","","","","","","",""
"1","k","k","27","O","","","Prep","","","Dat","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","poškození","poškození","28","O","","","","","","Dat","","","Neut","","","","","Sing","","","","","","Vnoun","","","","","","","","","","","","","","",""
"1","důležitých","důležitý","29","O","","","","","","Gen","Pos","","Fem","","","","","Plur","","Pos","","","","","","","","","","","","","","","","","","",""
"1","archeologických","archeologický","30","O","","","","","","Gen","Pos","","Fem","","","","","Plur","","Pos","","","","","","","","","","","","","","","","","","",""
"1","situací","situace","31","O","","","","","","Gen","","","Fem","","","","","Plur","","","","","","","","","","","","","","","","","","","","","No"
"1",".",".","32","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Archeologický","archeologický","1","O","","","","Inan","","Nom","Pos","","Masc","","","","","Sing","","Pos","","","","","","","","","","","","","","","","","","",""
"1","dohled","dohled","2","O","","","","Inan","","Nom","","","Masc","","","","","Sing","","","","","","","","","","","","","","","","","","","","",""
"1","při","při","3","O","","","Prep","","","Loc","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","stavbě","stavba","4","O","","","","","","Loc","","","Fem","","","","","Sing","","","","","","","","","","","","","","","","","","","","",""
"1","proběhl","proběhnout","5","O","","","","","Perf","","","","Masc","","","","","Sing","","Pos","","Past","","Part","Act","","","","","","","","","","","","","",""
"1","formou","forma","6","O","","","","","","Ins","","","Fem","","","","","Sing","","","","","","","","","","","","","","","","","","","","",""
"1","revize","revize","7","O","","","","","","Gen","","","Fem","","","","","Sing","","","","","","","","","","","","","","","","","","","","",""
"1","(","(","8","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"1","20.6.2014","20.6.2014","9","B-T","Complex time expressions","","","","","","","","","","","Digit","Card","","","","","","","","","","","","","","","","","","Yes","","","","No"
"1",")",")","10","I-T","Complex time expressions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","skrývky","skrývka","11","I-T","Complex time expressions","","","","","Gen","","","Fem","","","","","Sing","","","","","","","","","","","","","","","","","","","","",""
"1","ornice","ornice","12","I-T","Complex time expressions","","","","","Gen","","","Fem","","","","","Sing","","","","","","","","","","","","","","","","","","","","",""
"1","a","a","13","I-T","Complex time expressions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","výkopů","výkop","14","I-T","Complex time expressions","","","Inan","","Gen","","","Masc","","","","","Plur","","","","","","","","","","","","","","","","","","","","",""
"1","základových","základový","15","B-C","Complex bibliographic expression","","","Inan","","Gen","Pos","","Masc","","","","","Plur","","Pos","","","","","","","","","","","","","","","","","","",""
"1","pasů","pas","16","I-C","Complex bibliographic expression","","","Inan","","Gen","","","Masc","","","","","Plur","","","","","","","","","","","","","","","","","","","","",""
"1","pro","pro","17","I-C","Complex bibliographic expression","","Prep","","","Acc","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","rodinný","rodinný","18","I-C","Complex bibliographic expression","","","Inan","","Acc","Pos","","Masc","","","","","Sing","","Pos","","","","","","","","","","","","","","","","","","",""
